年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2017,北京大学,1,1,1,综合,平行录取一段,理科试验班类,699,53,10001,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,金融学类,684,362,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,法学,682,490,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,经济学类,681,532,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,统计学类,678,690,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,政治学、经济学与哲学（PPE实验班）,678,675,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,财政学类,678,704,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,理科试验班（信息与数学）,677,774,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,工商管理类,676,831,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,新闻传播学类,675,963,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,公共管理类,675,962,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,理科试验班（物理、化学与心理学）,674,1035,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,人力资源管理,673,1087,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,人文科学试验班,673,1112,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,农业经济管理类,672,1189,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,国际政治,672,1198,10002,普通类,浙江
2017,中国人民大学,1,1,1,综合,平行录取一段,社会学类,671,1271,10002,普通类,浙江
2017,清华大学,1,1,1,综合,平行录取一段,化学基础类（环境、化工与新材料类等）,700,40,10003,普通类,浙江
2017,清华大学,1,1,1,综合,平行录取一段,通用基础类（经济、金融与管理类等）,698,69,10003,普通类,浙江
2017,清华大学,1,1,1,综合,平行录取一段,物理基础类（建筑类等）,698,64,10003,普通类,浙江
2017,北京交通大学,0,1,1,综合,平行录取一段,交通运输类,637,8704,10004,普通类,浙江
