年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2021,北京大学,1,1,1,综合,平行录取一段,工商管理类,710,4,10001,普通类,浙江
2021,北京大学,1,1,1,综合,平行录取一段,理科试验班类（元培）,702,26,10001,普通类,浙江
2021,北京大学,1,1,1,综合,平行录取一段,文科试验班类（通用类）,699,52,10001,普通类,浙江
2021,北京大学,1,1,1,综合,平行录取一段,理科试验班类（理科基础类）,696,87,10001,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,法学,690,212,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,金融学类,686,334,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,经济学类,685,425,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,新闻传播学类,685,418,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,财政学类,685,398,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,人文科学试验班,684,499,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,社会学类,683,552,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,工商管理类,683,526,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,国际政治,682,621,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,人力资源管理,682,601,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,社会科学试验班（管理学科类）,681,702,10002,普通类,浙江
2021,中国人民大学,1,1,1,综合,平行录取一段,理科试验班,680,707,10002,普通类,浙江
2021,清华大学,1,1,1,综合,平行录取一段,文科试验班类（通用基础类）,715,2,10003,普通类,浙江
2021,清华大学,1,1,1,综合,平行录取一段,理科试验班类（物理基础类）,695,93,10003,普通类,浙江
2021,清华大学,1,1,1,综合,平行录取一段,临床医学类（含医学、化生类等）,695,88,10003,普通类,浙江
2021,北京交通大学,0,1,1,综合,平行录取一段,计算机类,648,8130,10004,普通类,浙江
2021,北京交通大学,0,1,1,综合,平行录取一段,新闻传播学类,646,8627,10004,普通类,浙江
2021,北京交通大学,0,1,1,综合,平行录取一段,软件工程,645,9097,10004,普通类,浙江
2021,北京交通大学,0,1,1,综合,平行录取一段,交通运输类,645,9063,10004,普通类,浙江
2021,北京交通大学,0,1,1,综合,平行录取一段,经济管理试验班,644,9441,10004,普通类,浙江
2021,北京交通大学,0,1,1,综合,平行录取一段,电子信息类（通信与控制）,644,9562,10004,普通类,浙江
2021,北京交通大学,0,1,1,综合,平行录取一段,外国语言文学类,643,10372,10004,普通类,浙江
