年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2017,清华大学,1,1,1,理科,本科一批,计算机类,702,8,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,临床医学（协和）,700,12,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,建筑类,697,14,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（新雅书院）,696,19,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,电子信息类,695,22,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（自动化与工业工程）,695,22,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（经济、金融与管理）,693,27,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,土木类,692,29,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（能源）,692,29,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（机械、航空与动力）,691,32,10003,普通类,重庆
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（数理）,691,32,10003,普通类,重庆
2017,清华大学,1,1,1,文科,本科一批,文科试验班类（经济、金融与管理）,663,4,10003,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,工科试验班（钱学森班）,659,505,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,电气类,643,1131,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,会计学（ACCA国际注册会计师）,643,1131,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,自动化类,642,1176,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,工科试验班（工科与管理贯通）,639,1356,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,软件工程,637,1490,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,计算机类,635,1617,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,数学类,635,1617,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,电子信息类,633,1765,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,经济学类,633,1765,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,工科试验班（机类）,632,1846,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,物理学类,632,1846,10698,普通类,重庆
2017,西安交通大学,1,1,1,理科,本科一批,生物医学工程类,632,1846,10698,普通类,重庆
2017,西安交通大学,1,1,1,文科,本科一批,文科试验班类,605,628,10698,普通类,重庆
2017,西安交通大学,1,1,1,文科,本科一批,法学试验班,603,702,10698,普通类,重庆
2017,西安交通大学,1,1,1,文科,本科一批,外国语言文学类,601,770,10698,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,电气工程及其自动化,573,10594,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,计算机科学与技术,569,11510,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,软件工程,567,12017,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,机械电子工程,566,12249,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,机械设计制造及其自动化,566,12249,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,道路桥梁与渡河工程,565,12511,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,电子信息工程,564,12754,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,网络工程,563,13006,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,智能科学与技术,563,13006,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,会计学,563,13006,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,应用物理学,562,13256,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,应用化学,562,13256,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,金融学,562,13256,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,工程管理,561,13510,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,生物医学工程,560,13764,10080,普通类,重庆
2017,河北工业大学,0,1,1,理科,本科一批,制药工程,560,13764,10080,普通类,重庆
2017,河北工业大学,0,1,1,文科,本科一批,公共事业管理,548,5129,10080,普通类,重庆
2017,河北工业大学,0,1,1,文科,本科一批,法学,548,5129,10080,普通类,重庆
2017,河北工业大学,0,1,1,文科,本科一批,劳动与社会保障,548,5129,10080,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,园林,566,12249,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,农林经济管理,542,18978,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,计算机科学与技术,532,22263,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,工业设计（家具设计）,532,22263,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,木材科学与工程,531,22622,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,给排水科学与工程,531,22622,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,材料化学,529,23337,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,包装工程,527,24025,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,轻化工程（制浆造纸工程）,524,25131,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,木材科学与工程（木结构建筑）,522,25856,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,森林保护,522,25856,10298,普通类,重庆
2017,南京林业大学,0,0,1,理科,本科一批,林学类（中外合作办学）,513,29232,10298,中外合作办学,重庆
2017,南京林业大学,0,0,1,理科,本科一批,林业工程类（中外合作办学）,501,34056,10298,中外合作办学,重庆
2017,南京林业大学,0,0,1,文科,本科一批,汉语言文学,544,5788,10298,普通类,重庆
2017,南京林业大学,0,0,1,文科,本科一批,广告学,542,6112,10298,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,临床医学（口腔）,666,329,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,临床医学,656,599,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,临床医学,641,1235,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,口腔医学,638,1424,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,数学与应用数学（数学经济创新班）,634,1701,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,数学类,628,2153,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,口腔医学技术,628,2153,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,金融学类,625,2409,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,经济学类,623,2587,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,物理学类（含基地班）,623,2587,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,法语,622,2674,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,新闻传播学类,620,2879,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,生物医学工程,620,2879,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,核工程与核技术,619,2985,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,环境科学与工程类,619,2985,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,电气工程及其自动化,619,2985,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,英语,619,2985,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,管理科学,619,2985,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,建筑类,619,2985,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,临床药学,618,3079,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,计算机类,618,3079,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,法学,618,3079,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,高分子材料与工程,618,3079,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,能源与动力工程,617,3188,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,工商管理类,616,3295,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,通信工程,616,3295,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,网络空间安全,615,3416,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,中国语言文学类,615,3416,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,西班牙语,615,3416,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,电子信息类,614,3526,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,药学,614,3526,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,信息管理与信息系统,614,3526,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,日语,614,3526,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,微电子科学与工程,613,3645,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,软件工程,613,3645,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,自动化,613,3645,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,医学技术类,613,3645,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,医学信息工程,613,3645,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,食品卫生与营养学,613,3645,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,航空航天类,612,3775,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,管理科学与工程类,611,3883,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,工程力学,611,3883,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,化工与制药类,611,3883,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,生物科学类（含基地班）,610,4020,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,预防医学,610,4020,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,土木类,610,4020,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,新能源材料与器件,610,4020,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,食品科学与工程,610,4020,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,纺织工程,610,4020,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,卫生检验与检疫,610,4020,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,金属材料工程,610,4020,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,机械设计制造及其自动化,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,水利类,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,化学类（含基地班）,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,材料类,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,公共管理类,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,生物工程,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,历史学类,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,无机非金属材料工程,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,轻化工程,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,旅游管理类,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,材料成型及控制工程,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,过程装备与控制工程,609,4166,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,测控技术与仪器,608,4300,10610,普通类,重庆
2017,四川大学,1,1,1,理科,本科一批,工业工程类（中外合作办学）,579,9239,10610,中外合作办学,重庆
2017,四川大学,1,1,1,理科,本科一批,机械类（中外合作办学）,569,11510,10610,中外合作办学,重庆
2017,四川大学,1,1,1,理科,本科一批,材料类（中外合作办学）,567,12017,10610,中外合作办学,重庆
2017,四川大学,1,1,1,理科,本科一批,护理学,563,13006,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,中国语言文学类,610,482,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,经济学类,609,509,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,工商管理类,608,539,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,新闻传播学类,607,565,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,英语,606,596,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,公共管理类,606,596,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,日语,606,596,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,旅游管理类,606,596,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,法学,605,628,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,图书情报与档案管理类,605,628,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,法语,605,628,10610,普通类,重庆
2017,四川大学,1,1,1,文科,本科一批,国际政治,605,628,10610,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,财务管理,570,11275,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,交通运输,569,11510,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,交通管理,567,12017,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,海事管理,566,12249,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,物联网工程,565,12511,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,自动化,565,12511,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,通信工程,564,12754,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,经济学,563,13006,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,电子信息工程,563,13006,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,物流管理,563,13006,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,软件工程,562,13256,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,统计学,562,13256,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,智能科学与技术,562,13256,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,能源与动力工程,562,13256,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,机械设计制造及其自动化,561,13510,10151,普通类,重庆
2017,大连海事大学,0,1,1,理科,本科一批,电子信息科学与技术,560,13764,10151,普通类,重庆
