年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2020,北京大学,1,1,1,理科,本科一批,环境科学与工程类（5000元/年;含环境科学、环境工程、环境科学（环境管理））,703,1,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,城乡规划（5000元/年）,702,1,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,数学类（5000元/年;含数学与应用数学〈数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融））,702,1,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,经济学类（5000元/年;含经济学、金融学、国际经济与贸易、保险学（风险管理与保险）、财政学、资源与环境经济学）,701,1,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,工商管理类（5000元/年;含金融学、金融学（金融经济学）、会计学、市场营销）,701,1,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,工科试验班类（5000元/年;含理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程）,701,1,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,理科试验班类（5300元/年;含数学类、物理学类、天文学、地球物理学类、心理学类、计算机类、电子信息类）,701,1,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,天文学（5000元/年）,700,36,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,地质学类（5000元/年;含地质学、地球化学）,700,36,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,环境科学（环境、生态、地理与资源环境）,699,45,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,法学（5000元/年）,699,45,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,电子信息类（5300元/年;含电子信息科学与技术、微电子科学与工程）,699,45,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,心理学类（5000元/年;含心理学、应用心理学）,699,45,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,国际政治（国政、外交学、国际政经）,698,56,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,信息管理与信息系统（5000元/年）,698,56,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,计算机类（5300元/年;含计算机科学与技术、智能科学与技术）,698,56,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,物理学类（5000元/年;含物理学、大气科学（大气与海洋））,698,56,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,地球物理学类（5000元/年;含地球物理学、地理信息科学（遥感与地理信息系统）、空间科学与技术）,698,56,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,生物科学类（5300元/年;含生物科学、生物技术）,698,56,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,化学类（5000元/年;含化学、应用化学、应用化学（材料方向）、化学生物学）,698,56,10001,普通类,安徽
2020,北京大学,1,1,1,理科,本科一批,公共管理类（5000元/年;含政治学与行政学、城市管理、行政管理）,698,56,10001,普通类,安徽
2020,北京大学,1,1,1,文科,本科一批,文科试验班类（5300元/年;含中国语言文学类、考古学、历史学类、哲学类、社会学类、国际政治、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类;全校教学资源范围内自由选择专业）,654,1,10001,普通类,安徽
2020,北京大学,1,1,1,文科,本科一批,城乡规划（5000元/年）,653,1,10001,普通类,安徽
2020,北京大学,1,1,1,文科,本科一批,法学（5000元/年）,652,1,10001,普通类,安徽
