年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2018,清华大学,1,1,1,理科,本科一批,法学（含国际班）,697,80,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,计算机类（含计算机科学与技术、计算机科学与技术（计算机科学实验班）、软件工程）,695,106,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,工科试验班类（自动化与工业工程）（含自动化、工业工程、信息管理与信息系统）,689,215,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,工科试验班类（能源与电气）（含电气工程及其自动化、电气工程及其自动化（能源互联网国际班）、能源与动力工程、能源与动力工程（烽火班）、航空航天类、建筑环境与能源应用工程）,689,215,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,临床医学类（协和）（八年医）（含临床医学）,689,215,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,理科试验班类（经济、金融与管理）（含经济与金融（国际班）、会计学、信息管理与信息系统）,688,231,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,工科试验班类（环境、化工与新材料）（含环境工程、环境工程（全球环境国际班）高分子材料与工程、化学工程与工业生物工程、材料科学与工程）,688,231,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,临床医学类（医学实验班）（八年医）（含临床医学）,688,231,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,理科试验班类（化生）（含化学、化学生物学（化生基础科学班）、生物科学、药学、化学工程与工业生物工程、高分子材料与工程、生物医学工程）,687,253,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,工科试验班类（机械、航空与动力）（含机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、能源与动力工程（烽火班）、车辆工程、车辆工程（车身方向）、工程力学（钱学森力学班）、航空航天类）,686,278,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,理科试验班类（新雅书院）（含物理学（等各专业））,686,278,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,建筑类（含建筑学、城乡规划、风景园林）,685,305,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,电子信息类（含电子信息科学与技术、微电子科学与工程、生物医学工程）,685,305,10003,普通类,北京
2018,清华大学,1,1,1,理科,本科一批,理科试验班类（数理）（含数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班）、材料科学与工程、航空航天类）,685,305,10003,普通类,北京
2018,清华大学,1,1,1,文科,本科一批,法学（含国际班）,689,29,10003,普通类,北京
2018,清华大学,1,1,1,文科,本科一批,文科试验班类（经济、金融与管理）（含经济与金融（国际班）、会计学、信息管理与信息系统）,688,32,10003,普通类,北京
2018,清华大学,1,1,1,文科,本科一批,文科试验班类（新雅书院）（含政治学、经济学与哲学等专业）,688,32,10003,普通类,北京
2018,清华大学,1,1,1,文科,本科一批,文科试验班类（人文与社会）（含汉语言文学、历史学、哲学、英语、英语（世界文学与文化实验班）、日语、社会学、经济学、国际政治、国际政治（国际事务与全球治理）、心理学、新闻学（国际新闻实验班）、新闻学（融媒体新闻实验班））,687,41,10003,普通类,北京
2018,西安交通大学,1,1,1,理科,本科一批,工科试验班（电类）（含电气工程及其自动化、测控技术与仪器、信息工程、电子科学与技术、微电子科学与工程、物联网工程、计算机科学与技术、自动化、软件工程、生物医学工程）（办学地点：兴庆校区）,651,2289,10698,普通类,北京
2018,西安交通大学,1,1,1,理科,本科一批,理科试验班（含应用化学、生物技术、材料化学、材料物理、光电信息科学与工程、应用物理学、统计学、数学与应用数学、工程力学、信息与计算科学）（办学地点：兴庆校区）,650,2379,10698,普通类,北京
2018,西安交通大学,1,1,1,理科,本科一批,理科试验班（数学H）（含数学与应用数学）（办学地点：兴庆校区）,649,2469,10698,普通类,北京
2018,西安交通大学,1,1,1,理科,本科一批,会计学（ACCA）,648,2547,10698,普通类,北京
2018,西安交通大学,1,1,1,理科,本科一批,工科试验班（管工贯通）（含行政管理、劳动与社会保障、工业工程、大数据管理与应用、工商管理）（办学地点：兴庆校区）,648,2547,10698,普通类,北京
2018,西安交通大学,1,1,1,理科,本科一批,工科试验班（机类）（含人居环境科学与技术、新能源科学与工程、能源与动力工程、环境工程、核工程与核技术、测控技术与仪器、工业设计、车辆工程、机械工程、过程装备与控制工程、化学工程与工艺、工程力学、飞行器设计与工程、材料科学与工程）（办学地点：兴庆校区）,647,2633,10698,普通类,北京
2018,西安交通大学,1,1,1,理科,本科一批,经济学类（含经济学、财政学、金融学、金融工程、国际经济与贸易、贸易经济、经济统计学、电子商务）（办学地点：雁塔校区）,647,2633,10698,普通类,北京
2018,西安交通大学,1,1,1,文科,本科一批,文科试验班类（含法学、哲学、社会学、网络与新媒体、汉语言文学、马克思主义理论）,643,953,10698,普通类,北京
2018,西安交通大学,1,1,1,文科,本科一批,外国语言文学类（含英语、法语、日语）,638,1156,10698,普通类,北京
2018,河北工业大学,0,1,1,理科,本科一批,电气工程及其自动化（含卓越工程师班）,596,8643,10080,普通类,北京
2018,河北工业大学,0,1,1,理科,本科一批,高分子材料与工程,589,9553,10080,普通类,北京
2018,河北工业大学,0,1,1,理科,本科一批,金融学,587,9827,10080,普通类,北京
2018,河北工业大学,0,1,1,理科,本科一批,机械类（含车辆工程、机械电子工程、机械设计制造及其自动化。，以省主管部门批复为准）,586,9967,10080,普通类,北京
2018,四川大学,1,1,1,理科,本科一批,临床医学（口腔）（八年医）,667,1114,10610,普通类,北京
2018,四川大学,1,1,1,理科,本科一批,临床医学（八年医）（办学地点：江安校区）,662,1460,10610,普通类,北京
2018,四川大学,1,1,1,理科,本科一批,口腔医学,658,1731,10610,普通类,北京
2018,四川大学,1,1,1,理科,本科一批,数学与应用数学（基地班）（办学地点：江安校区）,645,2814,10610,普通类,北京
