年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2020,清华大学,1,1,1,综合,本科批,文科试验班类（新雅书院）,700,80,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,工科试验班类（能源与电气）,700,80,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,文科试验班类（经济、金融与管理）,697,116,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,环境工程（国际班）,691,231,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,电子信息类,687,369,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,计算机类,687,369,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,理科试验班类（新雅书院）,687,369,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,工科试验班类（机械、航空与动力）,687,369,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,理科试验班类（经济、金融与管理）,687,369,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,理科试验班类（数理）,687,369,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,建筑类（五年制）,687,369,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,临床医学类（八年医）,687,369,10003,普通类,北京
2020,清华大学,1,1,1,综合,本科批,自动化类,687,369,10003,普通类,北京
2020,北京大学,1,1,1,综合,本科批,数学类,690,262,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,物理学类,690,262,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,计算机类,690,262,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,理科试验班类,690,262,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,法学,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,城乡规划,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,信息管理与信息系统,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,中国语言文学类,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,历史学类,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,哲学类,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,经济学类,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,社会学类,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,工商管理类,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,公共管理类,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,新闻传播学类,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,人文科学试验班,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,国际政治（国政、外交学、国际政经）,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,文科试验班类（全校教学资源范围内自由选择专业）,684,448,10001,普通类,北京
2020,北京大学,1,1,1,综合,本科批,化学类,683,478,10001,普通类,北京
