年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2017,北京大学,1,1,1,理科,本科一批,化学类,677,1,10001,普通类,福建
2017,北京大学,1,1,1,理科,本科一批,工商管理类,667,1,10001,普通类,福建
2017,北京大学,1,1,1,理科,本科一批,理科试验班类,662,1,10001,普通类,福建
2017,北京大学,1,1,1,理科,本科一批,物理学类,660,1,10001,普通类,福建
2017,北京大学,1,1,1,理科,本科一批,经济学类,659,1,10001,普通类,福建
2017,北京大学,1,1,1,理科,本科一批,天文学,657,1,10001,普通类,福建
2017,北京大学,1,1,1,理科,本科一批,生物科学,657,1,10001,普通类,福建
2017,北京大学,1,1,1,理科,本科一批,法学,655,1,10001,普通类,福建
2017,北京大学,1,1,1,理科,本科一批,数学类,653,59,10001,普通类,福建
2017,北京大学,1,1,1,理科,本科一批,电子信息类,651,66,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,工商管理类,640,1,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,国际政治,636,1,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,中国语言文学类,633,1,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,经济学类,632,1,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,文科试验班类,632,1,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,法学,631,1,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,英语,629,18,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,社会学,629,18,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,公共管理类,628,22,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,人文科学试验班,628,22,10001,普通类,福建
2017,北京大学,1,1,1,文科,本科一批,历史学类,627,23,10001,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,政治学、经济学与哲学（招考方向:PPE实验班）,634,245,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,新闻传播学类,626,382,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,理科试验班（招考方向:信息与数学）,622,464,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,统计学类,621,490,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,理科试验班（招考方向:物理、化学与心理学）,613,711,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,理科试验班（招考方向:环境理工、环境经管）,612,749,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,经济学类,611,781,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,信息资源管理,611,781,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,金融学类,610,811,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,法学,610,811,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,工商管理类,608,883,10002,普通类,福建
2017,中国人民大学,1,1,1,理科,本科一批,社会学类,608,883,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,政治学、经济学与哲学（招考方向:PPE实验班）,626,26,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,经济学类,620,44,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,法学,618,51,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,金融学类,614,75,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,工商管理类,612,84,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,社会学类,611,93,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,新闻传播学类,610,101,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,国际政治,610,101,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,公共管理类,610,101,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,人文科学试验班,608,110,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,英语,608,110,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,人力资源管理,607,117,10002,普通类,福建
2017,中国人民大学,1,1,1,文科,本科一批,信息资源管理,607,117,10002,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,建筑类,689,1,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,计算机类,662,1,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（招考方向:经济、金融与管理）,658,1,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（招考方向:化生）,655,1,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（招考方向:数理）,652,62,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（招考方向:自动化与工业工程）,651,66,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（招考方向:环境、化工与新材料）,650,76,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,土木类,650,76,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（招考方向:能源）,650,76,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,临床医学（招考方向:协和）,650,76,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（招考方向:人文与社会）,650,76,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,电子信息类,649,84,10003,普通类,福建
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（招考方向:机械、航空与动力）,649,84,10003,普通类,福建
2017,清华大学,1,1,1,文科,本科一批,文科试验班类（招考方向:经济、金融与管理）,639,1,10003,普通类,福建
2017,清华大学,1,1,1,文科,本科一批,文科试验班类（招考方向:人文与社会）,637,1,10003,普通类,福建
2017,北京交通大学,0,1,1,理科,本科一批,经济管理试验班,561,4174,10004,普通类,福建
2017,北京交通大学,0,1,1,理科,本科一批,计算机类,560,4299,10004,普通类,福建
