年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2019,北京大学,1,1,1,理科,本科一批,工科试验班类（理论与应用力学、工程力学（工程结构分析）、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程、机器人工程）,694,1,10001,普通类,甘肃
2019,北京大学,1,1,1,理科,本科一批,化学类（化学、应用化学、材料化学、化学生物学）,677,1,10001,普通类,甘肃
2019,北京大学,1,1,1,理科,本科一批,工商管理类（金融学、经济学（金融）、会计学、市场营销）,676,1,10001,普通类,甘肃
2019,北京大学,1,1,1,理科,本科一批,数学类（数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融）、数据科学与大数据技术）,676,1,10001,普通类,甘肃
2019,北京大学,1,1,1,理科,本科一批,物理学类（物理学、大气科学、核物理（核科学与技术））,673,21,10001,普通类,甘肃
2019,北京大学,1,1,1,理科,本科一批,生物科学类（生物科学、生物技术）,672,23,10001,普通类,甘肃
2019,北京大学,1,1,1,理科,本科一批,地球物理学类（地球物理学、地理信息科学（遥感与地理信息系统）、空间科学与技术）,671,27,10001,普通类,甘肃
2019,北京大学,1,1,1,理科,本科一批,经济学类（经济学、金融学、国际经济与贸易、保险学、财政学、资源与环境经济学）,671,27,10001,普通类,甘肃
2019,北京大学,1,1,1,理科,本科一批,城乡规划,670,34,10001,普通类,甘肃
2019,北京大学,1,1,1,理科,本科一批,计算机类（计算机科学与技术、智能科学与技术、数据科学与大数据技术、软件工程）,670,34,10001,普通类,甘肃
2019,北京大学,1,1,1,文科,本科一批,文科试验班类（中国语言文学类、考古学、历史学类、哲学类、社会学类、国际政治、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类、艺术学理论类、数据科学与大数据技术、政治学、经济学与哲学、古生物学、整合科学、外国语言与外国历史、外国语言文学类）,666,1,10001,普通类,甘肃
2019,北京大学,1,1,1,文科,本科一批,工商管理类（金融学、经济学（金融）、会计学、市场营销）,650,1,10001,普通类,甘肃
2019,北京大学,1,1,1,文科,本科一批,国际政治（国政、外交学、国际政经）,649,1,10001,普通类,甘肃
2019,北京大学,1,1,1,文科,本科一批,新闻传播学类（新闻学、广播电视学、广告学、编辑出版学）,648,1,10001,普通类,甘肃
2019,北京大学,1,1,1,文科,本科一批,法学,647,1,10001,普通类,甘肃
2019,北京大学,1,1,1,文科,本科一批,经济学类（经济学、金融学、国际经济与贸易、保险学、财政学、资源与环境经济学）,647,1,10001,普通类,甘肃
