年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2021,北京大学,1,1,1,物理,本科批,工商管理类（非定向）（020301.金融学+020301.金融学（金融经济学）+120203.会计学+120202.市场营销）（办学地点：校本部）,694,29,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,经济学类（非定向）（020101.经济学+020301.金融学+020401.国际经济与贸易+020303.保险学（风险管理与保险）+020201.财政学+020104.资源与环境经济学）（办学地点：校本部）,692,44,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,理科试验班类（非定向）（0701.数学类+0702.物理学类+070401.天文学+0708.地球物理学类+0711.心理学类+0809.计算机类+0807.电子信息类）（办学地点：校本部）,692,44,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,计算机类（非定向）（080901.计算机科学与技术+080907.智能科学与技术）（办学地点：校本部）,690,64,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,天文学（非定向）（办学地点：校本部）,690,64,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,物理学类（非定向）（070201.物理学+070601.大气科学（大气与海洋））（办学地点：校本部）,690,64,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,心理学类（非定向）（071101.心理学）（办学地点：校本部）,690,64,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,法学（非定向）（办学地点：校本部）,689,73,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,电子信息类（非定向）（080714.电子信息科学与技术+080704.微电子科学与工程）（办学地点：校本部）,689,73,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,数学类（非定向）（070101.数学与应用数学（数学）+070101.数学与应用数学（概率统计）+070101.数学与应用数学（科学与工程计算）+070101.数学与应用数学（信息科学）+070101.数学与应用数学（金融））（办学地点：校本部）,689,73,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,环境科学（非定向）（办学地点：校本部）,687,102,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,生物科学类（非定向）（071001.生物科学+071002.生物技术）（办学地点：校本部）,687,102,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,环境科学与工程类（非定向）（082503.环境科学+082502.环境工程+082503.环境科学（环境管理））（办学地点：校本部）,687,102,10001,普通类,广东
2021,北京大学,1,1,1,物理,本科批,地质学类（非定向）（070901.地质学+070902.地球化学）（办学地点：校本部）,683,197,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,工商管理类（非定向）（020301.金融学+020301.金融学（金融经济学）+120203.会计学+120202.市场营销）（办学地点：校本部）,679,20,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,中国语言文学类（非定向）（050101.汉语言文学+050102.汉语言+050105.古典文献学）（办学地点：校本部）,668,20,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,文科试验班类（非定向）（0501.中国语言文学类+060103.考古学+0601.历史学类+0101.哲学类+0303.社会学类+030101.法学+120102.信息管理与信息系统+0503.新闻传播学类+0201.经济学类+1202.工商管理类+1204.公共管理类）（办学地点：校本部）,668,20,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,考古学（非定向）（办学地点：校本部）,667,20,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,经济学类（非定向）（020101.经济学+020301.金融学+020401.国际经济与贸易+020303.保险学（风险管理与保险）+020201.财政学+020104.资源与环境经济学）（办学地点：校本部）,666,20,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,历史学类（非定向）（060101.历史学（中国史）+060102.世界史+060106.外国语言与外国历史）（办学地点：校本部）,666,20,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,法学（非定向）（办学地点：校本部）,665,20,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,公共管理类（非定向）（120405.城市管理+120402.行政管理）（办学地点：校本部）,665,20,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,城乡规划（非定向）（办学地点：校本部）,664,23,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,新闻传播学类（非定向）（050301.新闻学+050302.广播电视学+050303.广告学+050305.编辑出版学）（办学地点：校本部）,664,23,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,人文科学试验班（非定向）（130101.艺术史论+1303.戏剧与影视学类）（办学地点：校本部）,663,26,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,社会学类（非定向）（030301.社会学+030302.社会工作）（办学地点：校本部）,663,26,10001,普通类,广东
2021,北京大学,1,1,1,历史,本科批,信息管理与信息系统（非定向）（办学地点：校本部）,662,29,10001,普通类,广东
2021,中国人民大学,1,1,1,物理,本科批,经济学类（非定向）（020101.经济学+020401.国际经济与贸易+020106.能源经济+020103.国民经济管理）（办学地点：校本部）（含应用经济-数据科学双学士学位项目、应用经济-农村区域发展管理双学士学位项目）,677,371,10002,普通类,广东
2021,中国人民大学,1,1,1,物理,本科批,新闻传播学类（非定向）（050301.新闻学+050302.广播电视学+050303.广告学+050304.传播学+050309.国际新闻与传播）（办学地点：校本部）（含法学-新闻学双学士学位项目）,675,455,10002,普通类,广东
