年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2021,北京大学,1,1,1,理科,本科一批,法学（5000元/年）,692,20,10001,普通类,广西
2021,北京大学,1,1,1,理科,本科一批,数学类（5000元/年，包含专业:数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融））,689,24,10001,普通类,广西
2021,北京大学,1,1,1,理科,本科一批,工商管理类（5000元/年，包含专业:金融学、金融学（金融经济学）、会计学、市场营销）,687,30,10001,普通类,广西
2021,北京大学,1,1,1,理科,本科一批,理科试验班类（元培）（5300元/年，包含专业:数学类、物理学类、天文学、地球物理学类、心理学类、计算机类、电子信息类）,687,30,10001,普通类,广西
2021,北京大学,1,1,1,理科,本科一批,电子信息类（5300元/年，包含专业:电子信息科学与技术、微电子科学与工程）,684,40,10001,普通类,广西
2021,北京大学,1,1,1,理科,本科一批,计算机类（5300元/年，包含专业:计算机科学与技术、智能科学与技术）,683,43,10001,普通类,广西
2021,北京大学,1,1,1,理科,本科一批,生物科学类（5300元/年，包含专业:生物科学、生物技术）,682,48,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,文科试验班类（元培）（5300元/年，包含专业:中国语言文学类、考古学、历史学类、哲学类、社会学类、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类）,687,11,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,法学（5000元/年）,686,11,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,考古学（5000元/年）,682,11,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,工商管理类（5000元/年，包含专业:金融学、金融学（金融经济学）、会计学、市场营销）,682,11,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,中国语言文学类（5000元/年，包含专业:汉语言文学、汉语言、古典文献学）,674,11,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,国际政治（国政、外交学、国际政经）（5000元/年）,671,11,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,经济学类（5000元/年，包含专业:经济学金融学、国际经济与贸易、保险学（风险管理与保险）、财政学、资源与环境经济学）,670,12,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,城乡规划（5000元/年）,668,14,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,人文科学试验班（5000元/年，包含专业:艺术史论、戏剧与影视学类）,666,17,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,新闻传播学类（5000元/年，包含专业:新闻学、广播电视学、广告学、编辑出版学）,666,17,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,公共管理类（5000元/年，包含专业:城市管理、行政管理）,666,17,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,信息管理与信息系统（5000元/年）,665,18,10001,普通类,广西
2021,北京大学,1,1,1,文科,本科一批,"英语（5000元/年，需外语口试，外语口试成绩达""B等级""及以上）",664,22,10001,普通类,广西
2021,中国人民大学,1,1,1,理科,本科一批,金融学类（5000元/年，包含专业:金融学、金融工程、信用管理、保险学）,663,209,10002,普通类,广西
