年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2019,清华大学,1,1,1,理科,本科一批,理科试验班类（化学、化学生物学（化生基础科学班）、生物科学、药学、化学工程与工业生物工程、高分子材料与工程、生物医学工程）（化生）,693,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,理科试验班类（物理学（等各专业））（新雅书院）,692,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,理科试验班类（数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班）、材料科学与工程、航空航天类）（数理）,690,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,临床医学类（临床医学）（协和）,690,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,建筑类（建筑学、城乡规划、风景园林）,685,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,电子信息类（电子信息科学与技术、微电子科学与工程、生物医学工程）,684,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,计算机类（计算机科学与技术、计算机科学与技术（计算机科学实验班）、软件工程）,684,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,法学（含国际班）,683,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,土木类（土木工程、工程管理、交通工程、水利科学与工程）,683,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,工科试验班类（电气工程及其自动化、电气工程及其自动化（能源互联网国际班）、能源与动力工程、能源与动力工程（烽火班）、航空航天类、建筑环境与能源应用工程）（能源与电气）,683,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,工科试验班类（机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、能源与动力工程（烽火班）、车辆工程、车辆工程（车身方向）、工程力学（钱学森力学班）、航空航天类）（机械、航空与动力）,682,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,临床医学类（临床医学）（医学实验班）,682,51,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,工程物理（定向物院）（定向生录取分数要求按我校招生章程执行，可在统招线下10分内择优录取）,673,94,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,核工程与核技术（定向中核）（定向生录取分数要求按我校招生章程执行，可在统招线下20分内择优录取）,671,107,10003,普通类,贵州
2019,清华大学,1,1,1,理科,本科一批,材料科学与工程（定向物院）（定向生录取分数要求按我校招生章程执行，可在统招线下10分内择优录取）,671,107,10003,普通类,贵州
2019,清华大学,1,1,1,文科,本科一批,文科试验班类（经济与金融国际班、会计学、信息管理与信息系统经济、金融与管理）,684,42,10003,普通类,贵州
2019,西安交通大学,1,1,1,理科,本科一批,理科试验班（应用化学、生物技术、材料化学、材料物理、光电信息科学与工程、应用物理学、统计学、数学与应用数学、工程力学、信息与计算科学）,646,597,10698,普通类,贵州
2019,西安交通大学,1,1,1,理科,本科一批,理科试验班（计算机科学与技术）（计算机H）,644,668,10698,普通类,贵州
2019,西安交通大学,1,1,1,理科,本科一批,工科试验班（电气工程及其自动化、测控技术与仪器、信息工程、电子科学与技术、微电子科学与工程、物联网工程、计算机科学与技术、自动化、软件工程、生物医学工程）（电类）,643,717,10698,普通类,贵州
2019,西安交通大学,1,1,1,理科,本科一批,经济学类（经济学、财政学、金融学、金融工程、国际经济与贸易、贸易经济、经济统计学、电子商务）（雁塔校区）,642,764,10698,普通类,贵州
2019,西安交通大学,1,1,1,理科,本科一批,工科试验班（行政管理、劳动与社会保障、工业工程、大数据管理与应用、工商管理）（管工贯通）,641,804,10698,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,高分子材料与工程,569,8766,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,通信工程,562,10225,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,计算机类（计算机科学与技术、软件工程、物联网工程）,562,10225,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,自动化,561,10479,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,会计学,561,10479,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,工商管理,561,10479,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,电子信息工程,561,10479,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,应用统计学,559,10936,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,机械类（车辆工程、机械电子工程、机械设计制造及其自动化）（学费以省主管部门批复为准）,559,10936,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,制药工程,558,11152,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,土木类（道路桥梁与渡河工程、给排水科学与工程、土木工程）（学费以省主管部门批复为准）,558,11152,10080,普通类,贵州
2019,河北工业大学,0,1,1,理科,本科一批,安全工程,557,11409,10080,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,风景园林,563,10010,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,城乡规划,546,14104,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,园林,539,16063,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,计算机科学与技术,532,18216,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,园艺,526,20168,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,软件工程（嵌入式培养）,522,21540,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,家具设计与工程,520,22252,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,林学,519,22598,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,工业设计,518,22983,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,信息与计算科学,517,23345,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,国际经济与贸易,517,23345,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,工商管理类（工商管理、会计学、电子商务、信息管理与信息系统、旅游管理）,517,23345,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,自动化,515,24054,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,土木工程（建筑工程）,514,24398,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,生态学,513,24773,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,地理信息科学,513,24773,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,新能源科学与工程,513,24773,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,物联网工程（嵌入式培养）,513,24773,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,环境科学,512,25153,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,电气工程及其自动化,512,25153,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,生物制药,512,25153,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,生物科学,511,25522,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,森林工程,511,25522,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,包装工程,510,25924,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,能源与动力工程,510,25924,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,食品科学与工程,509,26270,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,生物工程,509,26270,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,机械类（机械设计制造及其自动化、机械电子工程）,509,26270,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,环境工程,508,26688,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,给排水科学与工程,507,27085,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,生物技术,507,27085,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,车辆工程,506,27504,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,交通工程,506,27504,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,材料化学,506,27504,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,林产化工,506,27504,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,水土保持与荒漠化防治,506,27504,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,材料科学与工程,506,27504,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,木材科学与工程,506,27504,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,高分子材料与工程,505,27907,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,交通运输,505,27907,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,轻化工程（制浆造纸工程）,505,27907,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,森林保护,505,27907,10298,普通类,贵州
2019,南京林业大学,0,0,1,理科,本科一批,化学工程与工艺,505,27907,10298,普通类,贵州
2019,南京林业大学,0,0,1,文科,本科一批,广告学,576,4203,10298,普通类,贵州
2019,南京林业大学,0,0,1,文科,本科一批,英语,572,4738,10298,普通类,贵州
2019,南京林业大学,0,0,1,文科,本科一批,法学,572,4738,10298,普通类,贵州
2019,南京林业大学,0,0,1,文科,本科一批,社会工作,570,5002,10298,普通类,贵州
2019,四川大学,1,1,1,理科,本科一批,临床医学（口腔）,663,206,10610,普通类,贵州
2019,四川大学,1,1,1,理科,本科一批,临床医学（八年）,650,478,10610,普通类,贵州
2019,四川大学,1,1,1,理科,本科一批,口腔医学（五年）,642,764,10610,普通类,贵州
2019,四川大学,1,1,1,理科,本科一批,会计学（ACCA）,642,764,10610,普通类,贵州
2019,四川大学,1,1,1,理科,本科一批,临床医学（五年）,634,1113,10610,普通类,贵州
2019,四川大学,1,1,1,理科,本科一批,医学技术类,631,1260,10610,普通类,贵州
