年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2017,北京大学,1,1,1,理科,本科批,电子信息类,899,6,10001,普通类,海南
2017,北京大学,1,1,1,理科,本科批,理科试验班类,886,9,10001,普通类,海南
2017,北京大学,1,1,1,理科,本科批,经济学类,882,11,10001,普通类,海南
2017,北京大学,1,1,1,理科,本科批,工商管理类,876,14,10001,普通类,海南
2017,北京大学,1,1,1,理科,本科批,城乡规划,872,16,10001,普通类,海南
2017,北京大学,1,1,1,理科,本科批,心理学,865,19,10001,普通类,海南
2017,北京大学,1,1,1,文科,本科批,法学,912,2,10001,普通类,海南
2017,北京大学,1,1,1,文科,本科批,工商管理类,895,4,10001,普通类,海南
2017,北京大学,1,1,1,文科,本科批,经济学类,876,8,10001,普通类,海南
2017,北京大学,1,1,1,文科,本科批,国际政治,874,9,10001,普通类,海南
2017,北京大学,1,1,1,文科,本科批,中国语言文学类,871,10,10001,普通类,海南
2017,北京大学,1,1,1,文科,本科批,哲学类,868,11,10001,普通类,海南
2017,中国人民大学,1,1,1,理科,本科批,金融学类,849,37,10002,普通类,海南
2017,中国人民大学,1,1,1,理科,本科批,经济学类,845,41,10002,普通类,海南
2017,中国人民大学,1,1,1,理科,本科批,理科试验班（信息与数学）,837,53,10002,普通类,海南
2017,中国人民大学,1,1,1,文科,本科批,经济学类,851,19,10002,普通类,海南
2017,中国人民大学,1,1,1,文科,本科批,金融学类,847,22,10002,普通类,海南
2017,中国人民大学,1,1,1,文科,本科批,法学,842,26,10002,普通类,海南
2017,中国人民大学,1,1,1,文科,本科批,新闻传播学类,839,29,10002,普通类,海南
2017,清华大学,1,1,1,理科,本科批,理科试验班类（化生）,939,1,10003,普通类,海南
2017,清华大学,1,1,1,理科,本科批,理科试验班类（经济、金融与管理）,901,5,10003,普通类,海南
2017,清华大学,1,1,1,理科,本科批,工科试验班类（能源）,887,8,10003,普通类,海南
2017,清华大学,1,1,1,理科,本科批,电子信息类,883,10,10003,普通类,海南
2017,清华大学,1,1,1,理科,本科批,建筑类,873,15,10003,普通类,海南
2017,清华大学,1,1,1,文科,本科批,文科试验班类（经济、金融与管理）,860,14,10003,普通类,海南
2017,北京交通大学,0,1,1,理科,本科批,软件工程,743,740,10004,普通类,海南
2017,北京交通大学,0,1,1,理科,本科批,计算机类,738,843,10004,普通类,海南
2017,北京交通大学,0,1,1,理科,本科批,交通运输类,734,916,10004,普通类,海南
2017,北京交通大学,0,1,1,理科,本科批,土木类,725,1124,10004,普通类,海南
2017,北京交通大学,0,1,1,理科,本科批,机械类,725,1124,10004,普通类,海南
2017,北京交通大学,0,1,1,理科,本科批,电子信息类（通信与控制）,723,1179,10004,普通类,海南
2017,北京工业大学,0,1,1,文科,本科批,工业设计,734,551,10005,普通类,海南
2017,北京工业大学,0,1,1,文科,本科批,社会学类,710,944,10005,普通类,海南
