年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2019,北京大学,1,1,1,理科,本科一批,工商管理类（含金融学、经济学（金融）、会计学、市场营销专业）,700,27,10001,普通类,河北
2019,北京大学,1,1,1,理科,本科一批,生物科学类（含生物科学、生物技术专业）,700,27,10001,普通类,河北
2019,北京大学,1,1,1,理科,本科一批,理科试验班类（含数学类、物理学类、天文学、化学类、环境科学与工程类、环境科学、城乡规划、地质学类、地球物理学类、心理学类、生物科学类、历史学类、考古学、社会学类、哲学类、国际政治、经济学类、工商管理类、法学类、公共管理类、新闻传播学类、外国语言文学类、艺术史论、戏剧与影视学类、数据科学与大数据技术、政治学、经济学与哲学、古生物学、整合科学、外国语言与外国历史、理论与应用力学、工程力学（工程结构分析）、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程专业）,697,43,10001,普通类,河北
2019,北京大学,1,1,1,理科,本科一批,数学类（含数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融）、数据科学与大数据技术专业）,696,51,10001,普通类,河北
2019,北京大学,1,1,1,理科,本科一批,物理学类（含物理学、大气科学、核物理（核科学与技术）专业）,696,51,10001,普通类,河北
2019,北京大学,1,1,1,理科,本科一批,计算机类（含计算机科学与技术、智能科学与技术、数据科学与大数据技术、软件工程专业）,696,51,10001,普通类,河北
2019,北京大学,1,1,1,理科,本科一批,经济学类（含经济学、金融学、国际经济与贸易、保险学、财政学、资源与环境经济学专业）,696,51,10001,普通类,河北
2019,北京大学,1,1,1,文科,本科一批,工商管理类（含金融学、经济学（金融）、会计学、市场营销专业）,684,1,10001,普通类,河北
2019,北京大学,1,1,1,文科,本科一批,文科试验班类（含中国语言文学类、考古学、历史学类、哲学类、社会学类、国际政治、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类、艺术学理论类、数据科学与大数据技术、政治学、经济学与哲学、古生物学、整合科学、外国语言与外国历史、外国语言文学类专业）,682,1,10001,普通类,河北
2019,北京大学,1,1,1,文科,本科一批,法学,680,1,10001,普通类,河北
2019,北京大学,1,1,1,文科,本科一批,国际政治（国政、外交学、国际政经）,679,1,10001,普通类,河北
2019,北京大学,1,1,1,文科,本科一批,社会学类（含社会学、社会工作、人类学专业）,679,1,10001,普通类,河北
2019,北京大学,1,1,1,文科,本科一批,经济学类（含经济学、金融学、国际经济与贸易、保险学、财政学、资源与环境经济学专业）,678,13,10001,普通类,河北
2019,北京大学,1,1,1,文科,本科一批,中国语言文学类（含汉语言文学、汉语言、古典文献学、应用语言学专业）,677,15,10001,普通类,河北
