年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2017,清华大学,1,1,1,理科,本科一批,土木类,682,20,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,临床医学（协和，8年制）,681,22,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,法学（含国际班）,679,37,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（经济、金融与管理）,677,52,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,建筑类,677,52,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,计算机类,676,60,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（新雅书院）,676,60,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（环境、化工与新材料）,676,60,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（数理）,675,71,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,电子信息类,674,79,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（能源）,674,79,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（自动化与工业工程）,674,79,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（化生）,674,79,10003,普通类,河南
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（机械、航空与动力）,673,89,10003,普通类,河南
2017,清华大学,1,1,1,文科,本科一批,文科试验班类（经济、金融与管理,670,2,10003,普通类,河南
2017,清华大学,1,1,1,文科,本科一批,文科试验班类（新雅书院）,662,10,10003,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,工科试验班（钱学森班）,641,1118,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,理科试验班（数学）,638,1336,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,软件工程,637,1417,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,工科试验班（工科与管理贯通）,637,1417,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,电气类,636,1497,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,自动化类,636,1497,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,计算机类,635,1581,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,医学试验班（侯宗濂班，学制5年）,635,1581,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,临床医学类（“5+3”规培，学制5年）,634,1684,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,化学类,633,1754,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,会计学（ACCA国际注册会计师）,633,1754,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,电子信息类,632,1837,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,经济学类,632,1837,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,理科试验班（物理）,631,1932,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,口腔医学类,631,1932,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,工科试验班（机类）,630,2030,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,数学类,630,2030,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,理科试验班（化学生物）,630,2030,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,公共管理类,630,2030,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,物理学类,630,2030,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,医学试验班（预防方向，学制5年）,569,18265,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,法医学,568,18740,10698,普通类,河南
2017,西安交通大学,1,1,1,理科,本科一批,护理学,555,25533,10698,普通类,河南
2017,西安交通大学,1,1,1,文科,本科一批,法学试验班,609,869,10698,普通类,河南
2017,西安交通大学,1,1,1,文科,本科一批,外国语言文学类,606,1029,10698,普通类,河南
2017,西安交通大学,1,1,1,文科,本科一批,文科试验班类,606,1029,10698,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,电气工程及其自动化,578,14358,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,机械设计制造及其自动化,575,15587,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,自动化,573,16479,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,车辆工程,573,16479,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,电子科学与技术,572,16897,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,通信工程,571,17352,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,软件工程,571,17352,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,金融学,571,17352,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,新能源科学与工程,571,17352,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,应用统计学,571,17352,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,机械电子工程,571,17352,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,材料类,570,17781,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,生物医学工程,570,17781,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,数学与应用数学,570,17781,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,工程管理,570,17781,10080,普通类,河南
2017,河北工业大学,0,1,1,理科,本科一批,建筑学,569,18265,10080,普通类,河南
