年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2017,北京大学,1,1,1,理科,本科一批A段,工商管理类,692,14,10001,普通类,黑龙江
2017,北京大学,1,1,1,理科,本科一批A段,物理学类,691,17,10001,普通类,黑龙江
2017,北京大学,1,1,1,理科,本科一批A段,理科试验班类,685,29,10001,普通类,黑龙江
2017,北京大学,1,1,1,理科,本科一批A段,数学类,680,47,10001,普通类,黑龙江
2017,北京大学,1,1,1,理科,本科一批A段,电子信息类,680,47,10001,普通类,黑龙江
2017,北京大学,1,1,1,理科,本科一批A段,经济学类,680,47,10001,普通类,黑龙江
2017,北京大学,1,1,1,文科,本科一批A段,经济学类,644,2,10001,普通类,黑龙江
2017,北京大学,1,1,1,文科,本科一批A段,国际政治,640,8,10001,普通类,黑龙江
2017,北京大学,1,1,1,文科,本科一批A段,文科试验班类,640,8,10001,普通类,黑龙江
2017,北京大学,1,1,1,文科,本科一批A段,工商管理类,639,10,10001,普通类,黑龙江
2017,北京大学,1,1,1,文科,本科一批A段,中国语言文学类,637,11,10001,普通类,黑龙江
2017,北京大学,1,1,1,文科,本科一批A段,法学,636,12,10001,普通类,黑龙江
2017,北京大学,1,1,1,文科,本科一批A段,社会学,633,16,10001,普通类,黑龙江
2017,中国人民大学,1,1,1,理科,本科一批A段,金融学类,670,136,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,理科,本科一批A段,统计学类,667,171,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,理科,本科一批A段,政治学、经济学与哲学（PPE实验班）,665,194,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,理科,本科一批A段,新闻传播学类,663,221,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,理科,本科一批A段,理科试验班（信息与数学）,663,221,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,理科,本科一批A段,工商管理类,662,240,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,理科,本科一批A段,经济学类,661,256,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,理科,本科一批A段,公共管理类,661,256,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,文科,本科一批A段,金融学类,629,31,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,文科,本科一批A段,政治学、经济学与哲学（PPE实验班）,629,31,10002,普通类,黑龙江
2017,中国人民大学,1,1,1,文科,本科一批A段,经济学类,626,42,10002,普通类,黑龙江
