年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2017,北京大学,1,1,1,理科,本科一批,工商管理类,692,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,化学类,691,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,经济学类,689,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,电子信息类,688,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,理科试验班类,688,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,心理学,687,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,城乡规划,685,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,生物科学,685,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,物理学类,685,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,法学,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,考古学,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,考古学,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,环境科学,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,信息管理与信息系统,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,信息管理与信息系统,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,环境科学与工程类,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,数学类,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,地球物理学类,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,工科试验班类,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,地质学类,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,天文学类,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,理科,本科一批,考古学（综合评价）,684,1,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,工商管理类,673,1,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,法学,664,1,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,国际政治,662,1,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,文科试验班类,662,1,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,中国语言文学类,661,1,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,新闻传播学类,661,1,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,经济学类,660,15,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,公共管理类,659,17,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,英语,658,18,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,历史学类,658,18,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,社会学,658,18,10001,普通类,湖北
2017,北京大学,1,1,1,文科,本科一批,哲学类,658,18,10001,普通类,湖北
