年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2020,北京大学,1,1,1,理科,本科一批A段,工商管理类,704,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,电子信息类,699,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,化学类,698,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,计算机类,695,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,理科试验班类,695,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,物理学类,695,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,生物科学类,695,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,数学类,694,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,经济学类,694,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,法学,694,1,10001,普通类,吉林
2020,北京大学,1,1,1,理科,本科一批A段,国际政治,694,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,工商管理类,664,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,文科试验班类,664,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,经济学类,656,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,社会学类,654,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,法学,654,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,中国语言文学类,653,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,城乡规划,652,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,信息管理与信息系统,652,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,哲学类,652,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,人文科学试验班,650,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,新闻传播学类,650,1,10001,普通类,吉林
2020,北京大学,1,1,1,文科,本科一批A段,公共管理类,649,1,10001,普通类,吉林
