年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2018,北京大学,1,1,1,理科,本科一批,法学,422,1,10001,普通类,江苏
2018,北京大学,1,1,1,理科,本科一批,理科试验班类,421,1,10001,普通类,江苏
2018,北京大学,1,1,1,理科,本科一批,工商管理类,420,1,10001,普通类,江苏
2018,北京大学,1,1,1,理科,本科一批,计算机类,416,1,10001,普通类,江苏
2018,北京大学,1,1,1,理科,本科一批,数学类,413,1,10001,普通类,江苏
2018,北京大学,1,1,1,理科,本科一批,电子信息类,413,1,10001,普通类,江苏
2018,北京大学,1,1,1,理科,本科一批,经济学类,413,1,10001,普通类,江苏
2018,北京大学,1,1,1,理科,本科一批,物理学类,413,1,10001,普通类,江苏
2018,北京大学,1,1,1,理科,本科一批,心理学类,413,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,工商管理类,416,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,文科试验班类,415,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,经济学类,414,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,国际政治,412,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,中国语言文学类,412,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,法学,411,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,新闻传播学类,410,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,历史学类,409,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,考古学,408,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,哲学类,408,1,10001,普通类,江苏
2018,北京大学,1,1,1,文科,本科一批,社会学类,408,1,10001,普通类,江苏
2018,中国人民大学,1,1,1,理科,本科一批,法学,406,244,10002,普通类,江苏
2018,中国人民大学,1,1,1,理科,本科一批,金融学类,406,244,10002,普通类,江苏
2018,中国人民大学,1,1,1,理科,本科一批,政治学、经济学与哲学（PPE实验班）,406,244,10002,普通类,江苏
2018,中国人民大学,1,1,1,理科,本科一批,经济学类,404,349,10002,普通类,江苏
2018,中国人民大学,1,1,1,理科,本科一批,统计学类,401,554,10002,普通类,江苏
