年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2020,北京大学,1,1,1,理科,本科一批,工商管理类（金融学、金融学[金融经济学]、会计学、市场营销）,690,27,10001,普通类,江西
2020,北京大学,1,1,1,理科,本科一批,理科试验班类（数学类、物理学类、天文学、地球物理学类、心理学类、,690,27,10001,普通类,江西
2020,北京大学,1,1,1,理科,本科一批,物理学类（物理学、大气科学[大气与海洋]）,689,34,10001,普通类,江西
2020,北京大学,1,1,1,理科,本科一批,数学类（数学与应用数学[数学]、数学与应用数学[概率统计]、数学与应,688,37,10001,普通类,江西
2020,北京大学,1,1,1,理科,本科一批,计算机类（计算机科学与技术、智能科学与技术）,687,40,10001,普通类,江西
2020,北京大学,1,1,1,理科,本科一批,地质学类（地质学、地球化学）,687,40,10001,普通类,江西
2020,北京大学,1,1,1,理科,本科一批,城乡规划,686,48,10001,普通类,江西
2020,北京大学,1,1,1,理科,本科一批,经济学类（经济学、金融学、国际经济与贸易、保险学[风险管理与保险],686,48,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,工商管理类（金融学、金融学[金融经济学]、会计学、市场营销）,656,1,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,法学,654,1,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,文科试验班类（全校教学资源范围内自由选择专业）（中国语言文学类、考,651,10,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,经济学类（经济学、金融学、国际经济与贸易、保险学[风险管理与保险],651,10,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,新闻传播学类（新闻学、广播电视学、广告学、编辑出版学）,650,12,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,中国语言文学类（汉语言文学、汉语言、古典文献学、应用语言学）,647,16,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,英语,646,18,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,公共管理类（政治学与行政学、城市管理、行政管理）,646,18,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,国际政治（国政、外交学、国际政经）,645,21,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,历史学类（历史学[中国史]、世界史、外国语言与外国历史）,645,21,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,哲学类（哲学、宗教学、哲学[科技哲学与逻辑学方向]）,645,21,10001,普通类,江西
2020,北京大学,1,1,1,文科,本科一批,社会学类（社会学、社会工作）,644,24,10001,普通类,江西
2020,中国人民大学,1,1,1,理科,本科一批,金融学类（金融学、金融工程、信用管理、保险学）,676,180,10002,普通类,江西
2020,中国人民大学,1,1,1,理科,本科一批,法学,674,224,10002,普通类,江西
2020,中国人民大学,1,1,1,理科,本科一批,经济学类（经济学、国际经济与贸易、能源经济、国民经济管理）,674,224,10002,普通类,江西
2020,中国人民大学,1,1,1,理科,本科一批,财政学类（财政学、税收学）,671,286,10002,普通类,江西
2020,中国人民大学,1,1,1,理科,本科一批,工商管理类（工商管理、财务管理、会计学、市场营销、管理科学、贸易,670,322,10002,普通类,江西
2020,中国人民大学,1,1,1,理科,本科一批,理科试验班（统计学、应用统计学、经济统计学、数据科学与大数据技术,670,322,10002,普通类,江西
