年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2019,北京大学,1,1,1,理科,本科批,理科试验班类（数学类、物理学类、天文学、化学类、环境科学与工程类、环境科学、城乡规划、地质学类、地球物理学类、心理学类、生物科学类、历史学类、考古学、社会学类、哲学类、国际政治、经济学类、工商管理类、法学类、公共管理类、新闻传播学类、外国语言文学类、艺术史论、戏剧与影视学类、数据与大数据技术、政治学、经济学、古生物学、整合科学、外国语言与外国历史、理论与应用力学、工程力学（工程结构分析）、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程）,695,10,10001,普通类,辽宁
2019,北京大学,1,1,1,理科,本科批,工商管理类（金融学、经济学（金融）、会计学、市场营销）,694,14,10001,普通类,辽宁
2019,北京大学,1,1,1,理科,本科批,电子信息类（电子信息科学与技术、微电子科学与工程、电子信息工程、集成电路设计与集成系统）,692,22,10001,普通类,辽宁
2019,北京大学,1,1,1,理科,本科批,数学类（数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融）、数据科学与大数据技术）,689,42,10001,普通类,辽宁
2019,北京大学,1,1,1,理科,本科批,物理学类（物理学、大气科学、核物理（核科学与技术））,689,42,10001,普通类,辽宁
2019,北京大学,1,1,1,理科,本科批,化学类（化学、应用化学、材料化学、化学生物学）,688,47,10001,普通类,辽宁
2019,北京大学,1,1,1,理科,本科批,生物科学类（生物科学、生物技术）,688,47,10001,普通类,辽宁
2019,北京大学,1,1,1,理科,本科批,计算机类（计算机科学与技术、智能科学与技术、数据科学与大数据技术、软件工程）,688,47,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,文科试验班类（中国语言文学类、考古学、历史学类、哲学类、社会学类、国际政治、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类、艺术学理论类、数据科学与大数据技术、政治学、经济学与哲学、古生物学、整合科学、外国语言与外国历史、外国语言文学类）,675,1,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,工商管理类（金融学、经济学（金融）、会计学、市场营销）,670,1,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,中国语言文学类（汉语言文学、汉语言、古典文献学、应用语言学）,665,12,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,新闻传播学类（新闻学、广播电视学、广告学、编辑出版学）,664,16,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,公共管理类（政治学与行政学、城市管理、行政管理）,664,16,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,哲学类（哲学、宗教学、逻辑学（科技哲学））,663,20,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,国际政治（国政、外交学、国际政经）,663,20,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,历史学类（历史学（中国史）、世界史、外国语言与外国历史）,663,20,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,英语,662,23,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,社会学类（社会学、社会工作、人类学）,662,23,10001,普通类,辽宁
2019,北京大学,1,1,1,文科,本科批,考古学,661,26,10001,普通类,辽宁
2019,中国人民大学,1,1,1,文科,本科批,人文科学试验班（汉语言文学、汉语言、历史学、考古学、世界史、哲学、宗教学、伦理学、马克思主义理论、中国共产党历史）,653,66,10002,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,计算机类（计算机科学与技术、计算机科学与技术（计算机科学实验班）、软件工程）,693,18,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,理科试验班类（经济、金融与管理）（经济与金融（国际班）、会计学、信息管理与信息系统）,691,28,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,临床医学类（协和）（临床医学）,691,28,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,工科试验班类（自动化与工业工程）（自动化、工业工程、信息管理与信息系统）,690,36,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,法学（含国际班）,687,56,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,建筑类（建筑学、城乡规划、风景园林）,687,56,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,工科试验班类（环境、化工与新材料）（环境工程、环境工程（全球环境国际班）、高分子材料与工程、化学工程与工业生物工程、材料科学与工程）,686,60,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,电子信息类（电子信息科学与技术、微电子科学与工程、生物医学工程）,685,72,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,理科试验班类（化生）（化学、化学生物学（化生基础科学班）、生物科学、药学、化学工程与工业生物工程、高分子材料与工程、生物医学工程）,684,86,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,工科试验班类（机械、航空与动力）（机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、能源与动力工程（烽火班）、车辆工程、车辆工程（车身方向）、工程力学（钱学森力学班）、航空航天类）,684,86,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,理科试验班类（数理）（数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班）、材料科学与工程、航空航天类）,683,97,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,土木类（土木工程、工程管理、交通工程、水利科学与工程）,683,97,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,核工程与核技术（定向中核）（定向生录取分数要求按我校招生章程执行，可在统招线下20分内择优录取）,668,457,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,机械工程（定向兵器工业）（定向生录取分数要求按我校招生章程执行，可在统招线下20分内择优录取）,666,534,10003,普通类,辽宁
2019,清华大学,1,1,1,理科,本科批,车辆工程（定向兵器工业）（定向生录取分数要求按我校招生章程执行，可在统招线下20分内择优录取）,665,580,10003,普通类,辽宁
2019,清华大学,1,1,1,文科,本科批,文科试验班类（经济、金融与管理）（经济与金融（国际班）、会计学、信息管理与信息系统）,669,1,10003,普通类,辽宁
2019,清华大学,1,1,1,文科,本科批,文科试验班类（人文与社会）（汉语言文学、历史学、哲学、英语、英语（世界文学与文化实验班）、日语、社会学、经济学、国际政治、国际政治（国际事务与全球治理）、心理学、新闻学（国际新闻实验班）、新闻学（融媒体新闻实验班））,669,1,10003,普通类,辽宁
2019,北京交通大学,0,1,1,理科,本科批,交通运输类（交通工程、物流工程、电子商务、交通运输（铁道运输）、交通运输（城市轨道交通）、交通运输（智能运输工程）、交通运输（高速铁路客运组织与服务）、交通运输（民航运输））（民族班）,635,2936,10004,普通类,辽宁
2019,北京交通大学,0,1,1,理科,本科批,外国语言文学类（英语、西班牙语、葡萄牙语）（外语成绩不低于100分）（口试合格）,631,3449,10004,普通类,辽宁
2019,北京交通大学,0,1,1,理科,本科批,机械类（机械工程、车辆工程、测控技术与仪器、能源与动力工程、工业工程）（民族班）,627,3990,10004,普通类,辽宁
2019,北京交通大学,0,1,1,理科,本科批,电子信息类（通信与控制）（通信工程、轨道交通信号与控制、自动化、电子科学与技术、信息工程）（民族班）,625,4303,10004,普通类,辽宁
2019,北京交通大学,0,1,1,理科,本科批,土木类（土木工程、铁道工程）（民族班）,625,4303,10004,普通类,辽宁
2019,北京交通大学,0,1,1,文科,本科批,外国语言文学类（英语、西班牙语、葡萄牙语）（英语成绩不低于100分）（口试合格）,629,577,10004,普通类,辽宁
2019,北京工业大学,0,1,1,理科,本科批,计算机科学与技术（实验班）（第一年在通州校区，第二至四年在平乐园校区）（详见招生章程）,622,4835,10005,普通类,辽宁
2019,北京工业大学,0,1,1,理科,本科批,电子科学与技术（实验班）（第一年在通州校区，第二至四年在平乐园校区）,620,5173,10005,普通类,辽宁
2019,北京工业大学,0,1,1,理科,本科批,测控技术与仪器（第一年在通州校区，第二至四年在平乐园校区）,618,5532,10005,普通类,辽宁
2019,北京工业大学,0,1,1,理科,本科批,土木类（土木工程、建筑环境与能源应用工程、给排水科学与工程）（第一年在通州校区，第二至四年在平乐园校区）（详见招生章程）,616,5908,10005,普通类,辽宁
