年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2019,清华大学,1,1,1,理科,本科一批,工科试验班类（自动化与工业工程）,699,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,理科试验班类（新雅书院）,698,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,建筑类,695,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,理科试验班类（经济、金融与管理）,689,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,计算机类,687,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,工科试验班类（机械、航空与动力）,684,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,临床医学类（协和）,684,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,电子信息类,683,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,土木类,683,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,工科试验班类（环境、化工与新材料）,683,,10003,普通类,内蒙古
2019,清华大学,1,1,1,理科,本科一批,理科试验班类（数理）,683,,10003,普通类,内蒙古
2019,清华大学,1,1,1,文科,本科一批,文科试验班类（经济、金融与管理）,671,,10003,普通类,内蒙古
2019,西安交通大学,1,1,1,理科,本科一批,工科试验班（机类）,636,912,10698,普通类,内蒙古
2019,西安交通大学,1,1,1,理科,本科一批,工科试验班（管工贯通）,635,965,10698,普通类,内蒙古
2019,西安交通大学,1,1,1,文科,本科一批,文科试验班类,630,187,10698,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,计算机类,585,5096,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,计算机科学与技术（中外合作办学）,582,5495,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,机械类,578,6004,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,工商管理,577,6160,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,新能源科学与工程,576,6294,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,交通运输类,576,6294,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,测控技术与仪器,573,6688,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,材料类,573,6688,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,工程管理,570,7126,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,过程装备与控制工程,569,7257,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,环境工程,568,7401,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,工业工程,549,10524,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,能源与动力工程,549,10524,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,高分子材料与工程,549,10524,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,材料成型及控制工程,549,10524,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,土木类,549,10524,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,理科,本科一批,安全工程,548,10708,10080,普通类,内蒙古
2019,河北工业大学,0,1,1,文科,本科一批,法学,579,1755,10080,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,园林,562,8356,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,机械类,557,9147,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,工商管理类,553,9820,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,信息与计算科学,552,10007,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,食品科学与工程,550,10335,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,电子信息工程,550,10335,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,自动化,548,10708,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,林学,547,10883,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,地理信息科学,547,10883,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,生物工程,546,11069,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,高分子材料与工程,543,11601,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,木材科学与工程,542,11795,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,化学工程与工艺,542,11795,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,生物科学,541,12008,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,土木工程（建筑工程）,541,12008,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,森林工程,541,12008,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,材料化学,540,12176,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,水土保持与荒漠化防治,539,12349,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,农林经济管理,539,12349,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,环境工程,537,12732,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,森林保护,537,12732,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,交通工程,536,12926,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,轻化工程（制浆造纸工程）,536,12926,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,车辆工程,535,13101,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,交通运输,534,13280,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,测绘工程,533,13472,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,理科,本科一批,能源与动力工程,529,14233,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,文科,本科一批,广告学,576,1914,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,文科,本科一批,日语,569,2370,10298,普通类,内蒙古
2019,南京林业大学,0,0,1,文科,本科一批,社会工作,569,2370,10298,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,临床医学（八年）,658,281,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,口腔医学（五年）,657,294,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,临床医学（五年）,654,351,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,卫生检验与检疫,648,500,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,金融学类,637,867,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,经济学类,633,1044,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,数学类,632,1081,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,公共管理类,629,1228,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,电子信息类,628,1277,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,计算机类,628,1277,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,软件工程,627,1329,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,网络空间安全,626,1387,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,材料类,624,1515,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,自动化,623,1580,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,马克思主义理论,623,1580,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,临床药学,622,1645,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,高分子材料与工程,621,1699,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,电气工程及其自动化,621,1699,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,机械类,621,1699,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,土木工程,618,1868,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,环境工程,618,1868,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,药学,617,1950,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,化学类,617,1950,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,医学技术类,617,1950,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,轻工类,616,2024,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,工科试验班（动力装备与安全）,616,2024,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,工科试验班（绿色化工与生物医药）,613,2266,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,水利类,608,2667,10610,普通类,内蒙古
2019,四川大学,1,1,1,理科,本科一批,预防医学,600,3405,10610,普通类,内蒙古
2019,四川大学,1,1,1,文科,本科一批,历史学类,626,237,10610,普通类,内蒙古
2019,四川大学,1,1,1,文科,本科一批,汉语言文学（基地班）,626,237,10610,普通类,内蒙古
2019,大连海事大学,0,1,1,理科,本科一批,法学,591,4518,10151,普通类,内蒙古
2019,大连海事大学,0,1,1,理科,本科一批,通信工程,589,4717,10151,普通类,内蒙古
2019,大连海事大学,0,1,1,理科,本科一批,金融工程,588,4837,10151,普通类,内蒙古
2019,大连海事大学,0,1,1,理科,本科一批,计算机科学与技术,587,4974,10151,普通类,内蒙古
2019,大连海事大学,0,1,1,理科,本科一批,物联网工程,581,5738,10151,普通类,内蒙古
2019,大连海事大学,0,1,1,理科,本科一批,数据科学与大数据技术,580,5861,10151,普通类,内蒙古
