年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2020,清华大学,1,1,1,理科,本科一批A段,理科试验班类（数理）（包含专业:数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班））,691,23,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,理科试验班类（人文与社会）（包含专业:社会学、经济学、国际政治、国际政治（国际事务与全球治理）、心理学、英语、英语（世界文学与文化实验班、日语））,691,23,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,电子信息类（包含专业:电子信息科学与技术、微电子科学与工程、生物医学工程）,690,25,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,理科试验班类（化生）（包含专业:化学、化学生物学、生物科学、药学、化学工程与工业生物工程、高分子材料与工程）,690,25,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,理科试验班类（经济、金融与管理）（包含专业:金融学类、信息管理与信息系统）,690,25,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,理科试验班类（新雅书院）（包含专业:物理学等各专业）,690,25,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,建筑类（包含专业:建筑学、城乡规划、风景园林）,685,50,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,临床医学类（协和）（包含专业:临床医学）（八年）,685,50,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,工科试验班类（能源与电气）（包含专业:建筑环境与能源应用工程、电气工程及其自动化、电气工程及其自动化（能源互联网国际班）、能源与动力工程）,683,66,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,计算机类（包含专业:计算机科学与技术、软件工程、计算机科学与技术（计算机科学实验班）、计算机科学与技术（智班））,683,66,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,工科试验班类（环境、化工与新材料）（包含专业:?环境工程、环境工程（全球环境国际班）、化学工程与工业生物工程、高分子材料与工程、材料科学与工程）,683,66,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,法学（含国际班）,682,76,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,自动化类（包含专业:自动化、信息管理与信息系统）,682,76,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,工科试验班类（机械、航空与动力）（包含专业:机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、车辆工程、工程（电子信息方向）、车辆工程（车身方向）、工业工程、航空航天类、工程力学（钱学森力学班）,682,76,10003,普通类,山西
2020,清华大学,1,1,1,理科,本科一批A段,临床医学类（医学实验班）（包含专业:临床医学）（八年）,682,76,10003,普通类,山西
2020,清华大学,1,1,1,文科,本科一批A段,文科试验班类（经济、金融与管理）（包含专业:经济与金融（国际班））,646,1,10003,普通类,山西
2020,清华大学,1,1,1,文科,本科一批A段,文科试验班类（人文与社会）（包含专业:社会学、经济学、国际政治、国际政治（国际事务与全球治理）、心理学、英语、英语（世界文学与文化实验班）、日语）,646,1,10003,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,工科试验班（钱学森班之智能电气Q）（包含专业:电气工程及其自动化、测控技术与仪器）,661,575,10698,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,工科试验班（钱学森班之智能技术与自动化Q）（包含专业:信息工程、电子科学与技术、微电子科学与工程、物联网工程、计算机科学与技术、自动化、软件工程）,659,664,10698,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,工科试验班（越杰计划之智能电气与信息类Q）（包含专业:计算机科学与技术、自动化、电气工程及其自动化）,658,716,10698,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,理科试验班（计算机H）（包含专业:计算机科学与技术）,657,769,10698,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,工科试验班（钱学森班之智慧能源动力Q）（包含专业:能源与动力工程、新能源科学与工程、核工程与核技术、环境工程）,657,769,10698,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,人工智能,656,809,10698,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,工科试验班（钱学森班之智能制造Q）（包含专业:机械工程、工业设计、车辆工程、测控技术与仪器）,655,861,10698,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,工科试验班（越杰计划之智慧能源与智能制造类Q）（包含专业:能源与动力工程、机械工程、材料科学与工程、工程力学）,654,928,10698,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,工科试验班（智能电气与信息类）（包含专业电气工程及其自动化、电子科学与技术、微电子科学与工程、信息工程、自动化、软件工程、计算机科学与技术、物联网工程、生物医学工程、测控技术与仪器）,653,986,10698,普通类,山西
2020,西安交通大学,1,1,1,理科,本科一批A段,工科试验班（智慧能源与智能制造类）（包含专业:能源与动力工程、新能源科学与工程、飞行器设计与工程、核工程与核技术、环境工程、人居环境科学与技术、化学工程与工艺、材料科学与工程、机械工程、工业设计、过程,653,986,10698,普通类,山西
2020,西安交通大学,1,1,1,文科,本科一批A段,外国语言文学类（包含专业:英语、法语、日语）,601,489,10698,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,电气工程及其自动化,606,7297,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,电子信息工程（人工智能新工科试点班）,604,7732,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,电子科学与技术（卓越工程师班）,604,7732,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,人工智能,602,8209,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,通信工程,602,8209,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,电子信息工程,601,8413,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,电子科学与技术,600,8642,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,数据科学与大数据技术,600,8642,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,智能制造工程,600,8642,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,机械类（包含专业:机械设计制造及其自动化、机械电子工程、车辆工程）,599,8897,10080,普通类,山西
2020,河北工业大学,0,1,1,理科,本科一批A段,材料类（包含专业:材料物理、金属材料工程、无机非金属材料工程、功能材料）,599,8897,10080,普通类,山西
