年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2020,清华大学,1,1,1,理科,本科一批,,694,85,10003,普通类,四川
2020,清华大学,1,1,1,文科,本科一批,,654,0,10003,普通类,四川
2020,北京大学,1,1,1,理科,本科一批,,695,71,10001,普通类,四川
2020,北京大学,1,1,1,文科,本科一批,,646,0,10001,普通类,四川
2020,浙江大学,1,1,1,理科,本科一批,,682,476,10335,普通类,四川
2020,浙江大学,1,1,1,文科,本科一批,,628,169,10335,普通类,四川
2020,上海交通大学,1,1,1,理科,本科一批,,692,118,10248,普通类,四川
2020,上海交通大学,1,1,1,文科,本科一批,,645,38,10248,普通类,四川
2020,复旦大学,1,1,1,理科,本科一批,,691,144,10246,普通类,四川
2020,复旦大学,1,1,1,文科,本科一批,,639,67,10246,普通类,四川
2020,南京大学,1,1,1,理科,本科一批,,678,747,10284,普通类,四川
2020,南京大学,1,1,1,文科,本科一批,,627,188,10284,普通类,四川
2020,中国科学技术大学,1,1,1,理科,本科一批,,681,535,10358,普通类,四川
2020,华中科技大学,1,1,1,理科,本科一批,,656,3691,10487,普通类,四川
2020,华中科技大学,1,1,1,理科,本科一批,,632,10617,10487,民族班,四川
2020,华中科技大学,1,1,1,文科,本科一批,,605,972,10487,普通类,四川
2020,武汉大学,1,1,1,理科,本科一批,,662,2613,10486,普通类,四川
2020,武汉大学,1,1,1,理科,本科一批,,642,7228,10486,民族班,四川
2020,武汉大学,1,1,1,理科,本科一批,,622,14764,10486,定向西藏,四川
2020,武汉大学,1,1,1,理科,本科一批,,605,23365,10486,护理学专业,四川
2020,武汉大学,1,1,1,文科,本科一批,,620,341,10486,普通类,四川
2020,武汉大学,1,1,1,文科,本科一批,,594,1754,10486,医学类专业,四川
2020,武汉大学,1,1,1,文科,本科一批,,578,3555,10486,定向西藏,四川
2020,西安交通大学,1,1,1,理科,本科一批,,658,3290,10698,普通类,四川
2020,西安交通大学,1,1,1,文科,本科一批,,604,1022,10698,普通类,四川
2020,四川大学,1,1,1,理科,本科一批,,638,8497,10610,普通类,四川
2020,四川大学,1,1,1,理科,本科一批,,615,18037,10610,中外合作办学,四川
2020,四川大学,1,1,1,理科,本科一批,,606,22798,10610,护理学专业,四川
2020,四川大学,1,1,1,文科,本科一批,,601,1218,10610,普通类,四川
2020,中山大学,1,1,1,理科,本科一批,,660,2945,10558,普通类,四川
2020,中山大学,1,1,1,理科,本科一批,,633,10246,10558,民族班,四川
2020,中山大学,1,1,1,文科,本科一批,,616,475,10558,普通类,四川
2020,中山大学,1,1,1,文科,本科一批,,600,1294,10558,民族班,四川
2020,哈尔滨工业大学,1,1,1,理科,本科一批,,662,2613,10213,普通类,四川
2020,哈尔滨工业大学,1,1,1,文科,本科一批,,591,2037,10213,普通类,四川
2020,同济大学,1,1,1,理科,本科一批,,674,1072,10247,普通类,四川
2020,同济大学,1,1,1,理科,本科一批,,660,2945,10247,中外合作办学,四川
2020,同济大学,1,1,1,文科,本科一批,,615,510,10247,普通类,四川
2020,北京航空航天大学,1,1,1,理科,本科一批,,676,882,10006,普通类,四川
2020,东南大学,1,1,1,理科,本科一批,,656,3691,10286,普通类,四川
2020,东南大学,1,1,1,文科,本科一批,,609,750,10286,普通类,四川
2020,北京理工大学,1,1,1,理科,本科一批,,662,2613,10007,普通类,四川
2020,北京理工大学,1,1,1,文科,本科一批,,608,805,10007,普通类,四川
2020,中国人民大学,1,1,1,理科,本科一批,,680,605,10002,普通类,四川
2020,中国人民大学,1,1,1,文科,本科一批,,634,105,10002,普通类,四川
2020,南开大学,1,1,1,理科,本科一批,,668,1690,10055,普通类,四川
2020,南开大学,1,1,1,文科,本科一批,,616,475,10055,普通类,四川
2020,南开大学,1,1,1,文科,本科一批,,591,2037,10055,中外合作办学,四川
2020,天津大学,1,1,1,理科,本科一批,,656,3691,10056,普通类,四川
2020,天津大学,1,1,1,文科,本科一批,,609,750,10056,普通类,四川
2020,山东大学,1,1,1,理科,本科一批,,635,9553,10422,普通类,四川
2020,山东大学,1,1,1,理科,本科一批,,597,28043,10422,定向西藏,四川
2020,山东大学,1,1,1,文科,本科一批,,598,1438,10422,普通类,四川
2020,中南大学,1,1,1,理科,本科一批,,635,9553,10533,普通类,四川
2020,中南大学,1,1,1,文科,本科一批,,596,1596,10533,普通类,四川
2020,西北工业大学,1,1,1,理科,本科一批,,648,5512,10699,普通类,四川
2020,西北工业大学,1,1,1,理科,本科一批,,610,20631,10699,中外合作办学,四川
2020,西北工业大学,1,1,1,文科,本科一批,,585,2650,10699,普通类,四川
2020,华南理工大学,1,1,1,理科,本科一批,,653,4332,10561,普通类,四川
2020,华南理工大学,1,1,1,文科,本科一批,,595,1668,10561,普通类,四川
2020,厦门大学,1,1,1,理科,本科一批,,659,3119,10384,普通类,四川
2020,厦门大学,1,1,1,文科,本科一批,,616,475,10384,普通类,四川
2020,吉林大学,1,1,1,理科,本科一批,,632,10617,10183,普通类,四川
2020,吉林大学,1,1,1,理科,本科一批,,607,22235,10183,农林类专业,四川
2020,吉林大学,1,1,1,文科,本科一批,,597,1516,10183,普通类,四川
2020,中国农业大学,1,1,1,理科,本科一批,,631,10990,10019,普通类,四川
2020,中国农业大学,1,1,1,理科,本科一批,,612,19559,10019,中外合作办学,四川
2020,中国农业大学,1,1,1,文科,本科一批,,600,1294,10019,普通类,四川
2020,中国农业大学,1,1,1,文科,本科一批,,581,3160,10019,中外合作办学,四川
2020,电子科技大学,1,1,1,理科,本科一批,,659,3119,10614,普通类,四川
2020,电子科技大学,1,1,1,文科,本科一批,,587,2439,10614,普通类,四川
2020,大连理工大学,1,1,1,理科,本科一批,,641,7522,10141,普通类,四川
2020,大连理工大学,1,1,1,理科,本科一批,,624,13898,10141,中外合作大连开发区,四川
2020,大连理工大学,1,1,1,理科,本科一批,,614,18516,10141,中外合作办学,四川
2020,湖南大学,1,1,1,理科,本科一批,,634,9929,10532,普通类,四川
2020,湖南大学,1,1,1,文科,本科一批,,597,1516,10532,普通类,四川
2020,南京理工大学,0,1,1,理科,本科一批,,628,12226,10288,普通类,四川
2020,南京理工大学,0,1,1,文科,本科一批,,578,3555,10288,普通类,四川
2020,重庆大学,1,1,1,理科,本科一批,,635,9553,10611,普通类,四川
2020,重庆大学,1,1,1,理科,本科一批,,617,17070,10611,民族班,四川
2020,重庆大学,1,1,1,理科,本科一批,,614,18516,10611,中外合作办学,四川
2020,重庆大学,1,1,1,文科,本科一批,,598,1438,10611,普通类,四川
2020,北京科技大学,0,1,1,理科,本科一批,,630,11380,10008,普通类,四川
2020,北京科技大学,0,1,1,文科,本科一批,,586,2541,10008,普通类,四川
2020,南京航空航天大学,0,1,1,理科,本科一批,,631,10990,10287,普通类,四川
2020,南京航空航天大学,0,1,1,理科,本科一批,,606,22798,10287,中外合作办学,四川
2020,南京航空航天大学,0,1,1,文科,本科一批,,581,3160,10287,普通类,四川
2020,兰州大学,1,1,1,理科,本科一批,,628,12226,10730,普通类,四川
2020,兰州大学,1,1,1,理科,本科一批,,597,28043,10730,护理学专业,四川
2020,兰州大学,1,1,1,文科,本科一批,,585,2650,10730,普通类,四川
2020,兰州大学,1,1,1,文科,本科一批,,566,5512,10730,护理学专业,四川
2020,东北大学,1,1,1,理科,本科一批,,628,12226,10145,普通类,四川
2020,东北大学,1,1,1,文科,本科一批,,584,2769,10145,普通类,四川
2020,北京交通大学,0,1,1,理科,本科一批,,638,8497,10004,普通类,四川
2020,北京交通大学,0,1,1,理科,本科一批,,628,12226,10004,民族班,四川
2020,北京交通大学,0,1,1,理科,本科一批,,610,20631,10004,中外合作办学,四川
2020,北京交通大学,0,1,1,文科,本科一批,,598,1438,10004,普通类,四川
2020,西安电子科技大学,0,1,1,理科,本科一批,,646,6058,10701,普通类,四川
2020,华中农业大学,0,1,1,理科,本科一批,,610,20631,10504,普通类,四川
2020,华中农业大学,0,1,1,文科,本科一批,,577,3709,10504,普通类,四川
2020,苏州大学,0,1,1,理科,本科一批,,624,13898,10285,普通类,四川
2020,苏州大学,0,1,1,理科,本科一批,,602,25076,10285,中外合作办学,四川
2020,苏州大学,0,1,1,文科,本科一批,,593,1838,10285,普通类,四川
2020,华东理工大学,0,1,1,理科,本科一批,,631,10990,10251,普通类,四川
2020,华东理工大学,0,1,1,理科,本科一批,,611,20093,10251,中外合作办学,四川
2020,上海大学,0,1,1,理科,本科一批,,628,12226,10280,普通类,四川
2020,上海大学,0,1,1,理科,本科一批,,614,18516,10280,中外合作办学,四川
2020,上海大学,0,1,1,文科,本科一批,,597,1516,10280,普通类,四川
2020,上海大学,0,1,1,文科,本科一批,,588,2306,10280,中外合作办学,四川
2020,中国石油大学（北京）,0,1,1,理科,本科一批,,616,17564,11414,普通类,四川
2020,中国石油大学（北京）,0,1,1,文科,本科一批,,577,3709,11414,普通类,四川
2020,南京农业大学,0,1,1,理科,本科一批,,609,21128,10307,普通类,四川
2020,南京农业大学,0,1,1,文科,本科一批,,577,3709,10307,普通类,四川
2020,郑州大学,0,1,1,理科,本科一批,,614,18516,10459,普通类,四川
2020,郑州大学,0,1,1,理科,本科一批,,605,23365,10459,中外合作办学,四川
2020,郑州大学,0,1,1,文科,本科一批,,581,3160,10459,普通类,四川
2020,西南交通大学,0,1,1,理科,本科一批,,621,15215,10613,普通类,四川
2020,西南交通大学,0,1,1,理科,本科一批,,611,20093,10613,峨眉校区,四川
2020,西南交通大学,0,1,1,理科,本科一批,,602,25076,10613,中外合作办学,四川
2020,西南交通大学,0,1,1,理科,本科一批,,582,37529,10613,中外合作办学（峨眉校区）,四川
2020,西南交通大学,0,1,1,文科,本科一批,,580,3300,10613,普通类,四川
2020,西南交通大学,0,1,1,文科,本科一批,,571,4637,10613,峨眉校区,四川
2020,哈尔滨工程大学,0,1,1,理科,本科一批,,621,15215,10217,普通类,四川
2020,哈尔滨工程大学,0,1,1,理科,本科一批,,597,28043,10217,联合学院,四川
2020,哈尔滨工程大学,0,1,1,理科,本科一批,,582,37529,10217,中外合作办学,四川
2020,中国矿业大学,0,1,1,理科,本科一批,,611,20093,10290,普通类,四川
2020,中国矿业大学,0,1,1,文科,本科一批,,574,4170,10290,普通类,四川
2020,武汉理工大学,0,1,1,理科,本科一批,,623,14322,10497,普通类,四川
2020,武汉理工大学,0,1,1,理科,本科一批,,611,20093,10497,中外合作国教学院,四川
2020,武汉理工大学,0,1,1,理科,本科一批,,592,31066,10497,中外合作马赛学院,四川
2020,武汉理工大学,0,1,1,文科,本科一批,,576,3844,10497,普通类,四川
2020,武汉理工大学,0,1,1,文科,本科一批,,562,6310,10497,中外合作国教学院,四川
2020,中国海洋大学,1,1,1,理科,本科一批,,627,12644,10423,普通类,四川
2020,中国海洋大学,1,1,1,理科,本科一批,,600,26236,10423,中外合作办学,四川
2020,中国海洋大学,1,1,1,文科,本科一批,,587,2439,10423,普通类,四川
2020,中国海洋大学,1,1,1,文科,本科一批,,577,3709,10423,中外合作办学,四川
2020,中国地质大学（武汉）,0,1,1,理科,本科一批,,613,19028,10491,普通类,四川
2020,中国地质大学（武汉）,0,1,1,理科,本科一批,,584,36150,10491,中外合作办学,四川
2020,中国地质大学（武汉）,0,1,1,文科,本科一批,,579,3431,10491,普通类,四川
2020,江南大学,0,1,1,理科,本科一批,,604,23939,10295,普通类,四川
2020,江南大学,0,1,1,文科,本科一批,,580,3300,10295,普通类,四川
2020,河海大学,0,1,1,理科,本科一批,,620,15678,10294,普通类,四川
2020,河海大学,0,1,1,文科,本科一批,,583,2889,10294,普通类,四川
2020,南京师范大学,0,1,1,理科,本科一批,,627,12644,10319,普通类,四川
2020,南京师范大学,0,1,1,文科,本科一批,,590,2132,10319,普通类,四川
2020,北京邮电大学,0,1,1,理科,本科一批,,653,4332,10013,普通类,四川
2020,北京邮电大学,0,1,1,文科,本科一批,,591,2037,10013,普通类,四川
2020,北京工业大学,0,1,1,理科,本科一批,,631,10990,10005,普通类,四川
2020,北京化工大学,0,1,1,理科,本科一批,,621,15215,10010,普通类,四川
2020,北京化工大学,0,1,1,理科,本科一批,,600,26236,10010,中外合作办学,四川
2020,北京化工大学,0,1,1,文科,本科一批,,577,3709,10010,普通类,四川
2020,中国石油大学（华东）,0,1,1,理科,本科一批,,611,20093,10425,普通类,四川
2020,中国石油大学（华东）,0,1,1,文科,本科一批,,576,3844,10425,普通类,四川
2020,西北大学,0,1,1,理科,本科一批,,615,18037,10697,普通类,四川
2020,西北大学,0,1,1,文科,本科一批,,583,2889,10697,普通类,四川
2020,西南大学,0,1,1,理科,本科一批,,616,17564,10635,普通类,四川
2020,西南大学,0,1,1,理科,本科一批,,584,36150,10635,中外合作办学,四川
2020,西南大学,0,1,1,理科,本科一批,,583,36862,10635,中外合作办学（西塔学院）,四川
2020,西南大学,0,1,1,理科,本科一批,,582,37529,10635,农学类,四川
2020,西南大学,0,1,1,文科,本科一批,,586,2541,10635,普通类,四川
2020,西南大学,0,1,1,文科,本科一批,,581,3160,10635,中外合作办学,四川
