年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2017,北京大学,1,1,1,理科,本科一批,经济学类,692,15,10001,普通类,天津
2017,北京大学,1,1,1,理科,本科一批,物理学类,692,15,10001,普通类,天津
2017,北京大学,1,1,1,理科,本科一批,数学类,689,22,10001,普通类,天津
2017,北京大学,1,1,1,理科,本科一批,工商管理类,689,22,10001,普通类,天津
2017,北京大学,1,1,1,理科,本科一批,电子信息类,688,28,10001,普通类,天津
2017,北京大学,1,1,1,理科,本科一批,工科试验班类,683,66,10001,普通类,天津
2017,北京大学,1,1,1,理科,本科一批,新闻传播学类,682,71,10001,普通类,天津
2017,北京大学,1,1,1,理科,本科一批,理科试验班类,682,71,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,国际政治,655,1,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,中国语言文学类,655,1,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,新闻传播学类,655,1,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,法学,654,1,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,工商管理类,654,1,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,历史学类,653,12,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,社会学,653,12,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,经济学类,652,13,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,文科试验班类,650,18,10001,普通类,天津
2017,北京大学,1,1,1,文科,本科一批,人文科学试验班,650,18,10001,普通类,天津
2017,中国人民大学,1,1,1,理科,本科一批,经济学类,678,116,10002,普通类,天津
2017,中国人民大学,1,1,1,理科,本科一批,金融学类,678,116,10002,普通类,天津
2017,中国人民大学,1,1,1,理科,本科一批,工商管理类,677,131,10002,普通类,天津
2017,中国人民大学,1,1,1,理科,本科一批,理科试验班（信息与数学）,677,131,10002,普通类,天津
2017,中国人民大学,1,1,1,理科,本科一批,国际政治,670,239,10002,普通类,天津
2017,中国人民大学,1,1,1,理科,本科一批,人力资源管理,669,260,10002,普通类,天津
2017,中国人民大学,1,1,1,理科,本科一批,理科试验班（物理、化学与心理学）,669,260,10002,普通类,天津
2017,中国人民大学,1,1,1,理科,本科一批,法学,668,278,10002,普通类,天津
2017,中国人民大学,1,1,1,理科,本科一批,信息资源管理,668,278,10002,普通类,天津
2017,中国人民大学,1,1,1,文科,本科一批,法学,646,29,10002,普通类,天津
2017,中国人民大学,1,1,1,文科,本科一批,金融学类,643,38,10002,普通类,天津
2017,中国人民大学,1,1,1,文科,本科一批,经济学类,641,52,10002,普通类,天津
2017,中国人民大学,1,1,1,文科,本科一批,工商管理类,641,52,10002,普通类,天津
2017,中国人民大学,1,1,1,文科,本科一批,国际政治,640,58,10002,普通类,天津
2017,中国人民大学,1,1,1,文科,本科一批,人力资源管理,640,58,10002,普通类,天津
2017,中国人民大学,1,1,1,文科,本科一批,新闻传播学类,639,64,10002,普通类,天津
2017,中国人民大学,1,1,1,文科,本科一批,人文科学试验班,639,64,10002,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（新雅书院）,692,15,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（数理）,692,15,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,计算机类,691,16,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,临床医学（协和）（八年医）,691,16,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（自动化与工业工程）,690,18,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,电子信息类,689,22,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,法学（含国际班）,689,22,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（环境、化工与新材料,689,22,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,工科试验班类（能源）,688,28,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（经济、金融与管理）,688,28,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,理科试验班类（化生）,687,35,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,建筑学（学制5年）,686,38,10003,普通类,天津
2017,清华大学,1,1,1,理科,本科一批,土木类,685,46,10003,普通类,天津
2017,清华大学,1,1,1,文科,本科一批,文科试验班类（经济、金融与管理）,665,1,10003,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,电子信息类（通信与控制）,630,1793,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,经济管理试验班,626,2039,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,交通运输类,626,2039,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,电气类,624,2178,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,计算机类,623,2257,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,电气工程及其自动化（新能源国际班）,622,2323,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,文科试验班类（语言与传播）,620,2469,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,软件工程,618,2603,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,机械类,618,2603,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,土木类,617,2683,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,理科试验班类,617,2683,10004,普通类,天津
2017,北京交通大学,0,1,1,理科,本科一批,机械类（机械电子工程）（中外合作办学）,592,4723,10004,中外合作办学,天津
2017,北京交通大学,0,1,1,理科,本科一批,材料类（纳米材料与技术）（中外合作办学）,587,5186,10004,中外合作办学,天津
2017,北京交通大学,0,1,1,理科,本科一批,交通运输类（交通运输）（中外合作办学）,587,5186,10004,中外合作办学,天津
2017,北京交通大学,0,1,1,文科,本科一批,经济管理试验班,606,412,10004,普通类,天津
2017,北京交通大学,0,1,1,文科,本科一批,文科试验班类（语言与传播）,595,642,10004,普通类,天津
2017,北京交通大学,0,1,1,文科,本科一批,法学,593,680,10004,普通类,天津
2017,北京工业大学,0,1,1,理科,本科一批,环境科学与工程类,607,3403,10005,普通类,天津
2017,北京工业大学,0,1,1,理科,本科一批,土木工程（茅以升班）,605,3574,10005,普通类,天津
2017,北京工业大学,0,1,1,理科,本科一批,电子信息工程（实验班）,604,3666,10005,普通类,天津
2017,北京工业大学,0,1,1,理科,本科一批,生物技术（实验班）,603,3740,10005,普通类,天津
2017,北京航空航天大学,1,1,1,理科,本科一批,理科试验班类（高等理工学院）,668,278,10006,普通类,天津
2017,北京航空航天大学,1,1,1,理科,本科一批,理科试验班类（中法工程师学院）,665,338,10006,普通类,天津
2017,北京航空航天大学,1,1,1,理科,本科一批,工科试验班类（国际通用工程学院）,664,361,10006,普通类,天津
2017,北京航空航天大学,1,1,1,理科,本科一批,工科试验班类（信息类）,664,361,10006,普通类,天津
2017,北京航空航天大学,1,1,1,理科,本科一批,工科试验班类（医工交叉试验班）,662,426,10006,普通类,天津
2017,北京航空航天大学,1,1,1,理科,本科一批,工科试验班类（航空航天类）,661,444,10006,普通类,天津
2017,北京航空航天大学,1,1,1,理科,本科一批,理科试验班类,660,469,10006,普通类,天津
2017,北京航空航天大学,1,1,1,文科,本科一批,社会科学试验班,609,356,10006,普通类,天津
2017,北京理工大学,1,1,1,理科,本科一批,电子信息类（实验班）,650,818,10007,普通类,天津
2017,北京理工大学,1,1,1,理科,本科一批,兵器类,650,818,10007,普通类,天津
2017,北京理工大学,1,1,1,理科,本科一批,计算机类,649,872,10007,普通类,天津
2017,北京理工大学,1,1,1,理科,本科一批,理科试验班（徐特立英才班）,648,909,10007,普通类,天津
2017,北京理工大学,1,1,1,理科,本科一批,理科试验班（数学箐英班）,646,993,10007,普通类,天津
2017,北京理工大学,1,1,1,理科,本科一批,自动化类,645,1034,10007,普通类,天津
2017,北京理工大学,1,1,1,理科,本科一批,理科试验班（物理箐英班）（应用物理学）,645,1034,10007,普通类,天津
2017,北京理工大学,1,1,1,理科,本科一批,电子信息类,644,1074,10007,普通类,天津
2017,北京理工大学,1,1,1,理科,本科一批,材料类,644,1074,10007,普通类,天津
