年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2021,北京大学,1,1,1,理科,本科一批,理科试验班类（元培）（数学类、物理学类、天文学、地球物理学类、心理学类、计算机类、电子信息类）,670,,10001,普通类,新疆
2021,北京大学,1,1,1,理科,本科一批,工商管理类（金融学、金融学（金融经济学）、会计学、市场营销）,668,,10001,普通类,新疆
2021,北京大学,1,1,1,理科,本科一批,数学类（数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融））,663,,10001,普通类,新疆
2021,北京大学,1,1,1,理科,本科一批,电子信息类（电子信息科学与技术、微电子科学与工程）,660,,10001,普通类,新疆
2021,北京大学,1,1,1,理科,本科一批,物理学类（物理学、大气科学（大气与海洋））,656,,10001,普通类,新疆
2021,北京大学,1,1,1,理科,本科一批,计算机类（计算机科学与技术、智能科学与技术）,654,,10001,普通类,新疆
2021,北京大学,1,1,1,理科,本科一批,化学类（化学、应用化学、应用化学（材料方向）、化学生物学）,654,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,文科试验班类（元培）（中国语言文学类、考古学、历史学类、哲学类、社会学类、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类）,653,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,信息管理与信息系统,643,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,工商管理类（金融学、金融学（金融经济学）、会计学、市场营销）,643,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,法学,633,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,新闻传播学类（新闻学、广播电视学、广告学、编辑出版学）,632,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,国际政治（国政、外交学、国际政经）,630,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,经济学类（经济学、金融学、国际经济与贸易、保险学（风险管理与保险）、财政学、资源与环境经济学）,629,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,人文科学试验班（艺术史论、戏剧与影视学类）,629,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,社会学类（社会学、社会工作）,628,,10001,普通类,新疆
2021,北京大学,1,1,1,文科,本科一批,中国语言文学类（汉语言文学、汉语言、古典文献学）,628,,10001,普通类,新疆
2021,中国人民大学,1,1,1,理科,本科一批,金融学类（金融学、金融工程、信用管理、保险学）,639,,10002,普通类,新疆
2021,中国人民大学,1,1,1,理科,本科一批,经济学类（经济学、国际经济与贸易、能源经济、国民经济管理）,638,,10002,普通类,新疆
2021,中国人民大学,1,1,1,理科,本科一批,社会学类（社会学、社会工作、公共事业管理（公共政策与人口管理））,636,,10002,普通类,新疆
2021,中国人民大学,1,1,1,理科,本科一批,法学,634,,10002,普通类,新疆
2021,中国人民大学,1,1,1,理科,本科一批,工商管理类（工商管理、财务管理、会计学、市场营销、管理科学、贸易经济）,633,,10002,普通类,新疆
2021,中国人民大学,1,1,1,理科,本科一批,理科试验班（统计学、应用统计学、经济统计学、数据科学与大数据技术、计算机科学与技术、信息管理与信息系统、信息安全、软件工程、数学与应用数学、人工智能）（NULL）,632,,10002,普通类,新疆
2021,中国人民大学,1,1,1,理科,本科一批,理科试验班（基础学科类）（物理学、材料物理、化学、应用心理学、环境科学与工程）,628,,10002,普通类,新疆
2021,中国人民大学,1,1,1,理科,本科一批,社会科学试验班（管理学科类）（行政管理、城市管理、土地资源管理、信息资源管理、档案学、农林经济管理、农村区域发展、资源与环境经济学、公共事业管理（环境与资源管理））,627,,10002,普通类,新疆
2021,中国人民大学,1,1,1,理科,本科一批,人力资源管理,620,,10002,普通类,新疆
2021,中国人民大学,1,1,1,文科,本科一批,法学,621,,10002,普通类,新疆
2021,中国人民大学,1,1,1,文科,本科一批,国际政治,620,,10002,普通类,新疆
2021,中国人民大学,1,1,1,文科,本科一批,金融学类（金融学、金融工程、信用管理、保险学）,620,,10002,普通类,新疆
2021,中国人民大学,1,1,1,文科,本科一批,经济学类（经济学、国际经济与贸易、能源经济、国民经济管理）,617,,10002,普通类,新疆
2021,中国人民大学,1,1,1,文科,本科一批,工商管理类（工商管理、财务管理、会计学、市场营销、管理科学、贸易经济）,617,,10002,普通类,新疆
2021,中国人民大学,1,1,1,文科,本科一批,社会学类（社会学、社会工作、公共事业管理（公共政策与人口管理））,616,,10002,普通类,新疆
2021,中国人民大学,1,1,1,文科,本科一批,新闻传播学类（新闻学、广播电视学、广告学、传播学、国际新闻与传播）,616,,10002,普通类,新疆
2021,中国人民大学,1,1,1,文科,本科一批,人力资源管理,615,,10002,普通类,新疆
2021,中国人民大学,1,1,1,文科,本科一批,社会科学试验班（管理学科类）（行政管理、城市管理、土地资源管理、信息资源管理、档案学、农林经济管理、农村区域发展、资源与环境经济学、公共事业管理（环境与资源管理））,615,,10002,普通类,新疆
2021,清华大学,1,1,1,理科,本科一批,理科试验班类（新雅书院）（物理学（等全校各专业））,679,,10003,普通类,新疆
2021,清华大学,1,1,1,理科,本科一批,工科试验班（环境、化工与新材料类）（环境工程、环境工程（全球环境国际班）、化学工程与工业生物工程、高分子材料与工程、材料科学与工程）,674,,10003,普通类,新疆
2021,清华大学,1,1,1,理科,本科一批,临床医学类（协和）（八年）（临床医学）,670,,10003,普通类,新疆
2021,清华大学,1,1,1,理科,本科一批,电子信息类（电子信息科学与技术、生物医学工程）,659,,10003,普通类,新疆
2021,清华大学,1,1,1,理科,本科一批,自动化类（自动化、信息管理与信息系统）,656,,10003,普通类,新疆
2021,清华大学,1,1,1,理科,本科一批,理科试验班（化生类）（化学、化学生物学、生物科学、药学、化学工程与工业生物工程、高分子材料与工程）,655,,10003,普通类,新疆
2021,清华大学,1,1,1,理科,本科一批,理科试验班类（数理）（数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班））,654,,10003,普通类,新疆
2021,清华大学,1,1,1,理科,本科一批,工科试验班类（能源与电气）（建筑环境与能源应用工程、电气工程及其自动化、电气工程及其自动化（能源互联网国际班）、能源与动力工程）,651,,10003,普通类,新疆
2021,清华大学,1,1,1,理科,本科一批,工科试验班类（机械、航空与动力）（机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、车辆工程、车辆工程（电子信息方向）、车辆工程（车身方向）、工业工程、航空航天类）,651,,10003,普通类,新疆
2021,清华大学,1,1,1,文科,本科一批,社会科学试验班（社会学、经济学、国际政治、国际政治（国际事务与全球治理）、心理学、英语、英语（世界文学与文化实验班）、日语）,642,,10003,普通类,新疆
2021,清华大学,1,1,1,文科,本科一批,文科试验班类（经济、金融与管理）（经济与金融（国际班））,638,,10003,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,计算机类（计算机科学与技术、计算机科学与技术（铁路信息技术）、物联网工程、信息安全、保密技术、人工智能）,573,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,软件工程（后两年学费16000元/学年）,565,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,经济管理试验班（经济学、金融学、劳动与社会保障、会计学、财务管理、工商管理、市场营销、旅游管理、工程管理、物流管理、信息管理与信息系统、保密管理）,560,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,电子信息类（通信与控制）（通信工程、轨道交通信号与控制、自动化、电子科学与技术、信息工程、智能装备与系统）,560,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,电气类（电气工程及其自动化、电气工程及其自动化（轨道牵引电气化））,558,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,交通运输类（交通工程、物流工程、电子商务、交通运输（铁道运输）、交通运输（城市轨道交通）、交通运输（智能运输工程）、交通运输（高速铁路客运组织与服务）、交通运输（民航运输））,555,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,理科试验班类（信息与计算科学、统计学、光电信息科学与工程、纳米材料与技术（智能材料方向））,552,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,建筑类（建筑学、城乡规划）,540,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,计算机科学与技术（威海校区）（中外合作办学）,498,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,通信工程（威海校区）（中外合作办学）,480,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,法学,470,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,会计学（威海校区）（中外合作办学）,469,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,工商管理（威海校区）（中外合作办学）,455,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,环境工程（威海校区）（中外合作办学）,455,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,信息管理与信息系统（威海校区）（中外合作办学）,455,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,机械类（智能制造与智能装备）（机械工程、车辆工程、测控技术与仪器、能源与动力工程、工业工程）,444,,10004,普通类,新疆
2021,北京交通大学,0,1,1,理科,本科一批,土木类（智慧建造与智能工程）（土木工程、铁道工程、环境工程）,436,,10004,普通类,新疆
2021,北京交通大学,0,1,1,文科,本科一批,经济管理试验班（经济学、金融学、劳动与社会保障、会计学、财务管理、工商管理、市场营销、旅游管理、工程管理、物流管理、信息管理与信息系统、保密管理）,578,,10004,普通类,新疆
2021,北京交通大学,0,1,1,文科,本科一批,新闻传播学类（传播学、网络与新媒体）,576,,10004,普通类,新疆
2021,北京交通大学,0,1,1,文科,本科一批,法学,575,,10004,普通类,新疆
2021,北京交通大学,0,1,1,文科,本科一批,外国语言文学类（英语、西班牙语、葡萄牙语 招英语语种考生）,574,,10004,普通类,新疆
2021,北京工业大学,0,1,1,理科,本科一批,环境科学与工程类（环境工程、环境科学 ）,538,,10005,普通类,新疆
2021,北京工业大学,0,1,1,理科,本科一批,土木类（土木工程、给排水科学与工程、建筑环境与能源应用工程 ）,535,,10005,普通类,新疆
2021,北京工业大学,0,1,1,理科,本科一批,信息安全（实验班）,534,,10005,普通类,新疆
2021,北京工业大学,0,1,1,理科,本科一批,能源动力类（能源与动力工程、新能源科学与工程）,534,,10005,普通类,新疆
2021,北京工业大学,0,1,1,理科,本科一批,材料类（实验班）（材料科学与工程、纳米材料与技术、资源循环科学与工程 ）,533,,10005,普通类,新疆
2021,北京航空航天大学,1,1,1,理科,本科一批,工科试验班类（未来空天领军计划）（人工智能、智能飞行器技术、智能感知工程、虚拟现实技术、网络空间安全、计算机科学与技术、智能制造工程、飞行器设计与工程、飞行器动力工程、机器人工程、材料科学与工程、能源与动力工程、飞行器环境与生命保障工程、生物医学工程、交通运输、飞行器质量与可靠性、探测制导与控制技术、电子信息工程、通信工程、集成电路设计与集成系统、电磁场与无线技术、软件工程、自动化、信息安全、测控技术与仪器）,637,,10006,普通类,新疆
2021,北京航空航天大学,1,1,1,理科,本科一批,工科试验班类（空天力学拔尖计划）（工程力学）,632,,10006,普通类,新疆
2021,北京航空航天大学,1,1,1,理科,本科一批,工科试验班类（医工交叉试验班）（生物医学工程 ）,630,,10006,普通类,新疆
2021,北京航空航天大学,1,1,1,理科,本科一批,理科试验班类（华罗庚数学拔尖计划）（数学与应用数学）,629,,10006,普通类,新疆
2021,北京航空航天大学,1,1,1,理科,本科一批,工科试验班类（信息类）（人工智能、计算机科学与技术、虚拟现实技术、智能感知工程、网络空间安全、电子信息工程、通信工程、电子科学与技术、集成电路设计与集成系统、光电信息科学与工程、电磁场与无线技术、交通运输、软件工程、自动化、电气工程及其自动化、机器人工程、信息对抗技术、信息安全、微电子科学与工程、测控技术与仪器、探测制导与控制技术、遥感科学与技术）,626,,10006,普通类,新疆
2021,北京航空航天大学,1,1,1,理科,本科一批,工科试验班类（航空H航天类）（智能飞行器技术、飞行器控制与信息工程、智能制造工程、飞行器设计与工程、飞行器动力工程、机器人工程、材料科学与工程、纳米材料与技术、能源与动力工程、工程力学、飞行器环境与生命保障工程、机械工程、材料成型及控制工程、飞行器制造工程、微机电系统工程、工业设计、生物医学工程、车辆工程、交通运输、飞行器适航技术、土木工程、飞行器质量与可靠性、安全工程、探测制导与控制技术、无人驾驶航空器系统工程）,623,,10006,普通类,新疆
2021,北京航空航天大学,1,1,1,理科,本科一批,理科试验班类（信息管理与信息系统、工业工程、经济统计学、会计学、工商管理、金融学、工程管理、能源经济、数学与应用数学、信息与计算科学、统计学、信息安全、应用物理学、核物理、物理学、环境工程、空间科学与技术、化学、应用化学、化学生物学）,622,,10006,普通类,新疆
2021,北京理工大学,1,1,1,理科,本科一批,工科试验班（徐特立英才班）（全校理工类专业）,622,,10007,普通类,新疆
2021,北京理工大学,1,1,1,理科,本科一批,工科试验班（宇航与机电类）（飞行器设计与工程、飞行器动力工程、航空航天工程、武器发射工程、探测制导与控制技术、工程力学、武器系统与工程、弹药工程与爆炸技术、特种能源技术与工程、安全工程、机械电子工程、智能无人系统技术）,615,,10007,普通类,新疆
2021,北京理工大学,1,1,1,理科,本科一批,工科试验班（信息科学技术）（人工智能、数据科学与大数据技术、网络空间安全、智能感知工程、密码科学与技术、自动化、电气工程及其自动化、计算机科学与技术、软件工程、光电信息科学与工程、测控技术与仪器）,614,,10007,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,理科试验班（材料科学与工程、管理科学与工程类、机械类、自动化类、计算机类、通信工程、土木类、安全工程、数学类、应用物理学 ）,571,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,计算机类（计算机科学与技术、信息安全、物联网工程）,558,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,通信工程,556,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,工商管理类（工商管理、会计学、国际经济与贸易、金融工程）,556,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,工科试验班类（材料科学与工程、机械类、自动化类、计算机类、通信工程、土木类、安全工程）,555,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,数学类（数学与应用数学、信息与计算科学、统计学）,555,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,管理科学与工程类（大数据管理与应用、信息管理与信息系统、工程管理）,553,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,自动化类（自动化、人工智能、测控技术与仪器）,553,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,安全工程,552,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,应用物理学,551,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,机械类（机械工程、机器人工程、车辆工程、物流工程、工业设计）,550,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,生物技术,549,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,应用化学,547,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,能源动力类（能源与动力工程、新能源科学与工程、环境工程、环境科学）,547,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,土木类（土木工程、建筑环境与能源应用工程）,546,,10008,普通类,新疆
2021,北京科技大学,0,1,1,理科,本科一批,材料科学与工程（按大类招生）,546,,10008,普通类,新疆
2021,北京化工大学,0,1,1,理科,本科一批,计算机类（电子信息工程、通信工程、人工智能、计算机科学与技术、数据科学与大数据技术）,531,,10010,普通类,新疆
2021,北京化工大学,0,1,1,理科,本科一批,工科试验班（宏德书院）（化学工程与工艺、高分子材料与工程、生物工程、化学）,529,,10010,普通类,新疆
2021,北京化工大学,0,1,1,理科,本科一批,工商管理类（新文科经管法）（财务管理、会计学、工商管理、国际经济与贸易、公共事业管理、行政管理、法学）,526,,10010,普通类,新疆
2021,北京化工大学,0,1,1,理科,本科一批,理科试验班（数学、物理电子与管理）（电子科学与技术、数学与应用数学、信息与计算科学、金融数学、信息管理与信息系统、物流管理）,524,,10010,普通类,新疆
2021,北京化工大学,0,1,1,理科,本科一批,自动化类（高端装备与智能制造）（测控技术与仪器、自动化、机械设计制造及其自动化、过程装备与控制工程、安全工程、机器人工程）,521,,10010,普通类,新疆
2021,北京化工大学,0,1,1,理科,本科一批,工科试验班（绿色化工与生物医药）（化学工程与工艺、能源化学工程、环境工程、生物工程、生物医学工程、制药工程）,515,,10010,普通类,新疆
2021,北京化工大学,0,1,1,理科,本科一批,工科试验班（先进材料与绿色化学）（材料科学与工程、高分子材料与工程、功能材料、化学、应用化学、能源化学）,514,,10010,普通类,新疆
2021,北京化工大学,0,1,1,文科,本科一批,法学（卓越实验班）,555,,10010,普通类,新疆
2021,北京化工大学,0,1,1,文科,本科一批,英语（招英语语种考生）,544,,10010,普通类,新疆
