年份,学校,_985,_211,双一流,科类,批次,专业,最低分,最低分排名,全国统一招生代码,招生类型,生源地
2021,北京大学,1,1,1,理科,本科一批,理科试验班类（元培）（数学类、物理学类、天文学、地球物理学类、心理学类、计算机类、电子信息类）,713,55,10001,普通类,云南
2021,北京大学,1,1,1,理科,本科一批,计算机类（计算机科学与技术、智能科学与技术）,704,55,10001,普通类,云南
2021,北京大学,1,1,1,理科,本科一批,数学类（数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融））,702,55,10001,普通类,云南
2021,北京大学,1,1,1,理科,本科一批,工商管理类（金融学、金融学（金融经济学）、会计学、市场营销）,702,55,10001,普通类,云南
2021,北京大学,1,1,1,理科,本科一批,经济学类（经济学、金融学、国际经济与贸易、保险学（风险管理与保险）、财政学、资源与环境经济学）,701,55,10001,普通类,云南
2021,北京大学,1,1,1,理科,本科一批,电子信息类（电子信息科学与技术、微电子科学与工程）,700,55,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,文科试验班类（元培）（中国语言文学类、考古学、历史学类、哲学类、社会学类、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类）,698,54,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,法学,696,54,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,社会学类（社会学、社会工作）,692,54,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,国际政治（国政、外交学、国际政经）,692,54,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,工商管理类（金融学、金融学（金融经济学）、会计学、市场营销）,692,54,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,英语（加试外语口试，只招英语语种）,690,54,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,中国语言文学类（汉语言文学、汉语言、古典文献学）,688,54,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,新闻传播学类（新闻学、广播电视学、广告学、编辑出版学）,687,54,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,经济学类（经济学、金融学、国际经济与贸易、保险学（风险管理与保险）、财政学、资源与环境经济学）,687,54,10001,普通类,云南
2021,北京大学,1,1,1,文科,本科一批,公共管理类（城市管理、行政管理）,685,54,10001,普通类,云南
2021,中国人民大学,1,1,1,理科,本科一批,法学（含法学-新闻学双学士学位项目、工商管理-法学双学士学位项目）,685,96,10002,普通类,云南
2021,中国人民大学,1,1,1,理科,本科一批,金融学类（金融学、金融工程、信用管理、保险学）,676,218,10002,普通类,云南
2021,中国人民大学,1,1,1,理科,本科一批,经济学类（经济学、国际经济与贸易、能源经济、国民经济管理）（含应用经济-数据科学双学士学位项目、应用经济-农村区域发展管理双学士学位项目）,672,276,10002,普通类,云南
2021,中国人民大学,1,1,1,理科,本科一批,财政学类（财政学、税收学）,671,289,10002,普通类,云南
2021,中国人民大学,1,1,1,理科,本科一批,理科试验班（统计学、应用统计学、经济统计学、数据科学与大数据技术、计算机科学与技术、信息管理与信息系统、信息安全、软件工程、数学与应用数学、人工智能）（含应用经济-数据科学双学士学位项目）,668,345,10002,普通类,云南
2021,中国人民大学,1,1,1,理科,本科一批,理科试验班（基础学科类）（物理学、材料物理、化学、应用心理学、环境科学与工程）,667,369,10002,普通类,云南
2021,中国人民大学,1,1,1,理科,本科一批,社会科学试验班（管理学科类）（行政管理、城市管理、土地资源管理、信息资源管理、档案学、农林经济管理、农村区域发展、资源与环境经济学、公共事业管理（环境与资源管理））（含应用经济-农村区域发展管理双学士学位项目）,666,390,10002,普通类,云南
2021,中国人民大学,1,1,1,理科,本科一批,工商管理类（工商管理、财务管理、会计学、市场营销、管理科学、贸易经济）（含工商管理-法学双学士学位项目）,666,390,10002,普通类,云南
2021,中国人民大学,1,1,1,文科,本科一批,经济学类（经济学、国际经济与贸易、能源经济、国民经济管理）（含应用经济-数据科学双学士学位项目、应用经济-农村区域发展管理双学士学位项目）,683,54,10002,普通类,云南
2021,中国人民大学,1,1,1,文科,本科一批,法学（含法学-新闻学双学士学位项目、工商管理-法学双学士学位项目）,679,54,10002,普通类,云南
2021,中国人民大学,1,1,1,文科,本科一批,新闻传播学类（新闻学、广播电视学、广告学、传播学、国际新闻与传播）（含法学-新闻学双学士学位项目）,675,54,10002,普通类,云南
2021,中国人民大学,1,1,1,文科,本科一批,国际政治,674,60,10002,普通类,云南
2021,中国人民大学,1,1,1,文科,本科一批,社会学类（社会学、社会工作、公共事业管理（公共政策与人口管理））,674,60,10002,普通类,云南
2021,中国人民大学,1,1,1,文科,本科一批,工商管理类（工商管理、财务管理、会计学、市场营销、管理科学、贸易经济）（含工商管理-法学双学士学位项目）,670,75,10002,普通类,云南
2021,中国人民大学,1,1,1,文科,本科一批,金融学类（金融学、金融工程、信用管理、保险学）,669,82,10002,普通类,云南
2021,中国人民大学,1,1,1,文科,本科一批,社会科学试验班（管理学科类）（行政管理、城市管理、土地资源管理、信息资源管理、档案学、农林经济管理、农村区域发展、资源与环境经济学、公共事业管理（环境与资源管理））（含应用经济-农村区域发展管理双学士学位项目）,669,82,10002,普通类,云南
2021,清华大学,1,1,1,理科,本科一批,计算机类（计算机科学与技术、软件工程、计算机科学与技术（计算机科学实验班）、计算机科学与技术（智班））,716,55,10003,普通类,云南
2021,清华大学,1,1,1,理科,本科一批,理科试验班（化生类）（化学、化学生物学、生物科学、药学、化学工程与工业生物工程、高分子材料与工程）,709,55,10003,普通类,云南
2021,清华大学,1,1,1,理科,本科一批,理科试验班类（新雅书院）（物理学（等全校各专业））,707,55,10003,普通类,云南
2021,清华大学,1,1,1,理科,本科一批,临床医学类（协和）（临床医学）（学制八年医）,706,55,10003,普通类,云南
2021,清华大学,1,1,1,理科,本科一批,自动化类（自动化、信息管理与信息系统）,704,55,10003,普通类,云南
2021,清华大学,1,1,1,理科,本科一批,电子信息类（电子信息科学与技术、生物医学工程）,703,55,10003,普通类,云南
2021,清华大学,1,1,1,理科,本科一批,理科试验班类（经济、金融与管理）（金融学类（经济金融国际班）、信息管理与信息系统）,701,55,10003,普通类,云南
2021,清华大学,1,1,1,理科,本科一批,建筑类（建筑学、城乡规划、风景园林）（学制五年）,698,55,10003,普通类,云南
2021,清华大学,1,1,1,理科,本科一批,土木类（土木工程、交通工程、工程管理、水利科学与工程）,697,55,10003,普通类,云南
