年份,省份,院校代码,学校,学科门类,专业类,专业名称,最低分,最低位次,选科要求,城市,地址录取批次,网址
2022,山东,10422,山东大学,医学,临床医学类,临床医学（本博连读，齐鲁医学堂）,642,2170,物、化、生(3科必选),济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,医学,口腔医学类,口腔医学（5+3一体化）,634,3463,物/化/生(3选1),济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,医学,临床医学类,临床医学（5+3一体化）,631,4159,物、化、生(3科必选),济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,理学,数学类,数学类,629,4646,物理必选,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,医学,口腔医学类,口腔医学（五年制）,629,4597,物/化/生(3选1),济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,医学,临床医学类,临床医学（五年制）,626,5369,物、化、生(3科必选),济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,工学,计算机类,计算机类（计算机与智能方向）,626,5389,物理必选,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,文学,中国语言文学类,中国语言文学类,624,5961,不限,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,法学,法学类,法学类,624,5960,不限,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,经济学,经济学类,经济学类,623,6261,不限,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,工学,电气类,电气工程及其自动化,621,6797,物理必选,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,工学,计算机类,计算机类（软件数媒与大数据方向）,620,7050,物理必选,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,工学,电子信息类,电子信息类（通信电子与光电方向）,619,7423,物理必选,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,医学,医学技术类,生物医药数据科学,619,7342,物/化/生(3选1),济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,工学,计算机类,网络空间安全,618,7546,物理必选,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,工学,自动化类,自动化类,617,8022,物理必选,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,法学,政治学类,政治学类,617,7994,不限,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,文学,新闻传播学类,新闻传播学类,617,7907,不限,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,理学,物理学类,物理学类,617,7882,物理必选,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,医学,基础医学类,生物医学科学,617,7852,物理、化学(2科必选),济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,工学,电子信息类,电子信息类（微电子与电路集成方向）,617,7912,物理必选,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,哲学,哲学类,哲学类,616,8294,不限,济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
2022,山东,10422,山东大学,历史学,历史学类,历史学类,616,8438,历史/地理(2选1),济南市,普通类一段,https://www.gaokao.cn/school/126/provinceline
